date;home_team_id;home_team_goals;away_team_goals;away_team_id;tournament_id
29/05/2021;CUI;2;2;JUV;SERIE_A
29/05/2021;BAH;3;0;SAN;SERIE_A
29/05/2021;SAO;0;0;FLU;SERIE_A
30/05/2021;ATL;1;2;FOR;SERIE_A
30/05/2021;FLA;1;0;PAL;SERIE_A
30/05/2021;CEA;3;2;GRE;SERIE_A
30/05/2021;COR;0;1;ATG;SERIE_A
30/05/2021;ATH;1;0;AME;SERIE_A
30/05/2021;CHA;0;3;RED;SERIE_A
30/05/2021;INT;2;2;SPO;SERIE_A
05/06/2021;ATG;2;0;SAO;SERIE_A
05/06/2021;RED;3;3;BAH;SERIE_A
05/06/2021;SAN;3;1;CEA;SERIE_A
06/06/2021;FLU;1;0;CUI;SERIE_A
06/06/2021;AME;0;1;COR;SERIE_A
06/06/2021;FOR;5;1;INT;SERIE_A
06/06/2021;PAL;3;1;CHA;SERIE_A
06/06/2021;JUV;0;3;ATH;SERIE_A
06/06/2021;SPO;0;1;ATL;SERIE_A
12/06/2021;SAN;0;0;JUV;SERIE_A
12/06/2021;PAL;1;1;COR;SERIE_A
13/06/2021;FLA;2;0;AME;SERIE_A
13/06/2021;GRE;0;1;ATH;SERIE_A
13/06/2021;ATL;1;0;SAO;SERIE_A
13/06/2021;BAH;0;1;INT;SERIE_A
13/06/2021;FOR;1;0;SPO;SERIE_A
13/06/2021;CHA;0;0;CEA;SERIE_A
13/06/2021;RED;2;2;FLU;SERIE_A
21/07/2021;CUI;2;1;ATG;SERIE_A
16/06/2021;INT;0;1;ATL;SERIE_A
16/06/2021;SAO;1;1;CHA;SERIE_A
16/06/2021;COR;1;2;RED;SERIE_A
16/06/2021;JUV;0;3;PAL;SERIE_A
17/06/2021;CEA;1;2;BAH;SERIE_A
17/06/2021;AME;0;0;CUI;SERIE_A
17/06/2021;SPO;1;0;GRE;SERIE_A
17/06/2021;ATG;0;0;FOR;SERIE_A
17/06/2021;FLU;1;0;SAN;SERIE_A
19/06/2021;FLA;2;3;RED;SERIE_A
20/06/2021;PAL;2;1;AME;SERIE_A
20/06/2021;INT;1;1;CEA;SERIE_A
20/06/2021;BAH;0;0;COR;SERIE_A
20/06/2021;SAN;2;0;SAO;SERIE_A
20/06/2021;FOR;1;1;FLU;SERIE_A
20/06/2021;ATH;2;1;ATG;SERIE_A
20/06/2021;JUV;1;0;SPO;SERIE_A
21/06/2021;ATL;1;1;CHA;SERIE_A
18/08/2021;CUI;0;1;GRE;SERIE_A
23/06/2021;ATG;1;0;FLU;SERIE_A
23/06/2021;RED;3;1;PAL;SERIE_A
23/06/2021;SAO;2;2;CUI;SERIE_A
23/06/2021;FLA;2;1;FOR;SERIE_A
24/06/2021;AME;1;1;JUV;SERIE_A
24/06/2021;COR;2;1;SPO;SERIE_A
24/06/2021;CEA;2;1;ATL;SERIE_A
24/06/2021;CHA;1;2;INT;SERIE_A
24/06/2021;BAH;2;1;ATH;SERIE_A
24/06/2021;GRE;2;2;SAN;SERIE_A
27/06/2021;JUV;1;0;FLA;SERIE_A
27/06/2021;FLU;1;1;COR;SERIE_A
27/06/2021;PAL;3;2;BAH;SERIE_A
27/06/2021;GRE;0;0;FOR;SERIE_A
27/06/2021;ATH;2;2;CHA;SERIE_A
27/06/2021;SPO;0;0;CUI;SERIE_A
27/06/2021;CEA;1;1;SAO;SERIE_A
27/06/2021;AME;1;1;INT;SERIE_A
27/06/2021;SAN;2;0;ATL;SERIE_A
28/06/2021;ATG;0;1;RED;SERIE_A
30/06/2021;FLU;1;4;ATH;SERIE_A
30/06/2021;FOR;3;2;CHA;SERIE_A
30/06/2021;INT;1;2;PAL;SERIE_A
30/06/2021;BAH;3;4;AME;SERIE_A
30/06/2021;SAN;0;0;SPO;SERIE_A
30/06/2021;COR;0;0;SAO;SERIE_A
30/06/2021;JUV;2;0;GRE;SERIE_A
01/07/2021;RED;0;0;CEA;SERIE_A
01/07/2021;ATL;4;1;ATG;SERIE_A
01/07/2021;CUI;0;2;FLA;SERIE_A
03/07/2021;AME;2;0;SAN;SERIE_A
03/07/2021;ATH;2;1;FOR;SERIE_A
03/07/2021;COR;1;1;INT;SERIE_A
04/07/2021;CHA;0;2;BAH;SERIE_A
04/07/2021;SPO;0;1;PAL;SERIE_A
04/07/2021;FLA;0;1;FLU;SERIE_A
04/07/2021;CEA;2;0;JUV;SERIE_A
04/07/2021;CUI;0;1;ATL;SERIE_A
04/07/2021;SAO;1;2;RED;SERIE_A
04/07/2021;GRE;0;1;ATG;SERIE_A
06/07/2021;SAN;2;1;ATH;SERIE_A
07/07/2021;RED;1;1;CUI;SERIE_A
07/07/2021;BAH;1;0;JUV;SERIE_A
07/07/2021;FOR;4;0;AME;SERIE_A
07/07/2021;PAL;2;0;GRE;SERIE_A
07/07/2021;ATL;2;1;FLA;SERIE_A
07/07/2021;ATG;1;1;SPO;SERIE_A
07/07/2021;INT;0;2;SAO;SERIE_A
07/07/2021;FLU;0;0;CEA;SERIE_A
08/07/2021;CHA;0;1;COR;SERIE_A
10/07/2021;GRE;0;0;INT;SERIE_A
10/07/2021;PAL;3;2;SAN;SERIE_A
10/07/2021;ATH;2;2;RED;SERIE_A
10/07/2021;SAO;1;0;BAH;SERIE_A
10/07/2021;AME;0;1;ATL;SERIE_A
10/07/2021;SPO;1;2;FLU;SERIE_A
11/07/2021;JUV;1;1;ATG;SERIE_A
11/07/2021;FLA;2;1;CHA;SERIE_A
11/07/2021;CUI;2;2;CEA;SERIE_A
11/07/2021;FOR;1;0;COR;SERIE_A
17/07/2021;CEA;1;0;ATH;SERIE_A
17/07/2021;SAO;0;1;FOR;SERIE_A
17/07/2021;COR;1;2;ATL;SERIE_A
17/07/2021;FLU;0;1;GRE;SERIE_A
18/07/2021;CHA;2;3;CUI;SERIE_A
18/07/2021;ATG;0;3;PAL;SERIE_A
18/07/2021;BAH;0;5;FLA;SERIE_A
18/07/2021;INT;1;0;JUV;SERIE_A
18/07/2021;RED;2;2;SAN;SERIE_A
19/07/2021;AME;0;1;SPO;SERIE_A
24/07/2021;GRE;1;1;AME;SERIE_A
24/07/2021;PAL;1;0;FLU;SERIE_A
25/07/2021;ATL;3;0;BAH;SERIE_A
25/07/2021;FOR;1;0;RED;SERIE_A
25/07/2021;FLA;5;1;SAO;SERIE_A
25/07/2021;SAN;0;1;ATG;SERIE_A
25/07/2021;ATH;2;1;INT;SERIE_A
25/07/2021;SPO;0;0;CEA;SERIE_A
26/07/2021;JUV;1;0;CHA;SERIE_A
26/07/2021;CUI;1;2;COR;SERIE_A
31/07/2021;SAO;0;0;PAL;SERIE_A
31/07/2021;INT;0;0;CUI;SERIE_A
31/07/2021;RED;1;0;GRE;SERIE_A
01/08/2021;ATL;2;0;ATH;SERIE_A
01/08/2021;COR;1;3;FLA;SERIE_A
01/08/2021;BAH;0;1;SPO;SERIE_A
01/08/2021;CHA;0;1;SAN;SERIE_A
01/08/2021;CEA;3;1;FOR;SERIE_A
01/08/2021;ATG;1;1;AME;SERIE_A
06/08/2021;SPO;0;0;RED;SERIE_A
07/08/2021;ATH;1;2;SAO;SERIE_A
07/08/2021;PAL;2;3;FOR;SERIE_A
07/08/2021;CUI;1;1;BAH;SERIE_A
08/08/2021;SAN;0;0;COR;SERIE_A
08/08/2021;JUV;1;2;ATL;SERIE_A
08/08/2021;AME;1;0;FLU;SERIE_A
08/08/2021;CEA;0;0;ATG;SERIE_A
08/08/2021;FLA;0;4;INT;SERIE_A
09/08/2021;GRE;2;1;CHA;SERIE_A
14/08/2021;RED;1;2;JUV;SERIE_A
14/08/2021;ATL;2;0;PAL;SERIE_A
14/08/2021;SAO;2;1;GRE;SERIE_A
15/08/2021;FLA;2;0;SPO;SERIE_A
15/08/2021;COR;3;1;CEA;SERIE_A
15/08/2021;FOR;1;1;SAN;SERIE_A
15/08/2021;CUI;1;0;ATH;SERIE_A
15/08/2021;BAH;1;2;ATG;SERIE_A
15/08/2021;INT;4;2;FLU;SERIE_A
16/08/2021;CHA;1;1;AME;SERIE_A
