id;Ro;Rn;matches;wins;draws;losses
RED;1344;1368;38;13;14;11
FLA;1441;1356;114;70;23;21
FLU;1334;1351;114;42;29;43
INT;1355;1320;114;55;31;28
ATH;1278;1310;114;49;27;38
ATL;1259;1300;114;50;25;39
ATG;1184;1210;38;12;14;12
SAO;1133;1210;114;51;39;24
CEA;1195;1206;114;34;33;47
GRE;1239;1204;114;51;37;26
BAH;1114;1192;114;36;33;45
AME;1247;1190;38;10;10;18
VIT;1195;1189;38;9;10;19
CHA;1172;1186;76;18;22;36
COR;1154;1180;114;38;37;39
SAN;1230;1164;114;49;31;34
PAL;1192;1152;114;59;35;20
PAR;1110;1135;38;4;11;23
GOI;1194;1126;76;24;17;35
VAS;1067;1121;114;32;37;45
SPO;1152;1119;76;23;15;38
CRU;1103;1066;76;21;26;29
FOR;1076;1058;76;25;19;32
AVA;952;996;38;3;11;24
CSA;1020;995;38;8;8;22
CTB;1013;986;38;7;10;21
BOT;940;921;114;31;28;55
