id;Ro;Rn;matches;wins;draws;losses
ATL;1417;1428;146;68;31;47
PAL;1359;1310;130;69;37;24
FOR;1339;1307;92;34;23;35
CEA;1338;1260;130;39;41;50
FLA;1205;1254;128;79;23;26
SAO;1225;1246;130;55;45;30
RED;1305;1221;54;20;21;13
COR;1115;1215;130;43;43;44
ATG;1184;1210;38;12;14;12
SAN;1178;1200;130;54;37;39
VIT;1195;1189;38;9;10;19
INT;1098;1160;130;60;37;33
PAR;1110;1135;38;4;11;23
SPO;1180;1134;92;26;21;45
GOI;1194;1126;76;24;17;35
ATH;1189;1125;129;56;29;44
VAS;1067;1121;114;32;37;45
AME;1146;1111;54;13;16;25
FLU;1135;1080;129;46;34;49
CRU;1103;1066;76;21;26;29
GRE;1090;1059;129;54;41;34
BAH;1054;1036;130;41;36;53
AVA;952;996;38;3;11;24
CSA;1020;995;38;8;8;22
CTB;1013;986;38;7;10;21
BOT;940;921;114;31;28;55
CHA;847;873;92;18;27;47
