date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;win;AME;1501;3;0;SPO;1501;SERIE_A;1564
21/04/2018;loss;AME;1565;0;2;FLA;1502;SERIE_A;1506
30/04/2018;win;AME;1507;2;1;VIT;1434;SERIE_A;1534
05/05/2018;loss;AME;1536;1;4;VAS;1524;SERIE_A;1484
14/05/2018;draw;AME;1486;2;2;CEA;1419;SERIE_A;1476
20/05/2018;win;AME;1479;1;0;BOT;1511;SERIE_A;1519
27/05/2018;loss;AME;1522;1;3;SAO;1542;SERIE_A;1461
31/05/2018;loss;AME;1465;0;1;COR;1475;SERIE_A;1416
03/06/2018;win;AME;1420;3;1;ATH;1426;SERIE_A;1475
07/06/2018;loss;AME;1480;1;3;ATL;1487;SERIE_A;1417
10/06/2018;loss;AME;1422;0;1;GRE;1508;SERIE_A;1384
13/06/2018;draw;AME;1390;0;0;CHA;1504;SERIE_A;1392
19/07/2018;loss;AME;1398;1;3;CRU;1497;SERIE_A;1362
22/07/2018;loss;AME;1369;0;1;PAR;1375;SERIE_A;1320
26/07/2018;win;AME;1327;2;1;INT;1661;SERIE_A;1406
29/07/2018;win;AME;1414;1;0;SAN;1508;SERIE_A;1477
05/08/2018;draw;AME;1485;0;0;PAL;1615;SERIE_A;1489
11/08/2018;loss;AME;1498;0;1;BAH;1561;SERIE_A;1457
19/08/2018;draw;AME;1466;0;0;FLU;1444;SERIE_A;1449
22/08/2018;win;AME;1459;2;0;SPO;1325;SERIE_A;1506
26/08/2018;draw;AME;1516;2;2;FLA;1626;SERIE_A;1517
01/09/2018;loss;AME;1528;0;1;VIT;1449;SERIE_A;1467
06/09/2018;win;AME;1478;2;1;VAS;1482;SERIE_A;1515
09/09/2018;draw;AME;1527;0;0;CEA;1582;SERIE_A;1521
16/09/2018;loss;AME;1533;0;1;BOT;1419;SERIE_A;1467
22/09/2018;draw;AME;1480;1;1;SAO;1721;SERIE_A;1510
29/09/2018;draw;AME;1523;0;0;COR;1533;SERIE_A;1510
06/10/2018;loss;AME;1524;0;4;ATH;1634;SERIE_A;1489
14/10/2018;draw;AME;1503;0;0;ATL;1601;SERIE_A;1517
20/10/2018;draw;AME;1532;1;1;GRE;1728;SERIE_A;1545
27/10/2018;loss;AME;1560;0;1;CHA;1456;SERIE_A;1495
04/11/2018;loss;AME;1511;1;2;CRU;1636;SERIE_A;1465
10/11/2018;loss;AME;1481;0;1;PAR;1355;SERIE_A;1402
15/11/2018;loss;AME;1419;0;2;INT;1787;SERIE_A;1408
18/11/2018;win;AME;1425;2;1;SAN;1699;SERIE_A;1498
21/11/2018;loss;AME;1516;0;4;PAL;1977;SERIE_A;1509
25/11/2018;win;AME;1527;1;0;BAH;1722;SERIE_A;1590
02/12/2018;loss;AME;1609;0;1;FLU;1558;SERIE_A;1552
30/05/2021;loss;AME;1571;0;1;ATH;4086;SERIE_A;1571
06/06/2021;loss;AME;1591;0;1;COR;3925;SERIE_A;1591
13/06/2021;loss;AME;1611;0;2;FLA;4196;SERIE_A;1611
17/06/2021;draw;AME;1632;0;0;CUI;1591;SERIE_A;1613
20/06/2021;loss;AME;1634;1;2;PAL;4080;SERIE_A;1634
24/06/2021;draw;AME;1656;1;1;JUV;1660;SERIE_A;1643
27/06/2021;draw;AME;1665;1;1;INT;4282;SERIE_A;1715
30/06/2021;win;AME;1738;4;3;BAH;4311;SERIE_A;1838
03/07/2021;win;AME;1861;2;0;SAN;4385;SERIE_A;2011
07/07/2021;loss;AME;2035;0;4;FOR;4110;SERIE_A;2035
10/07/2021;loss;AME;2059;0;1;ATL;4500;SERIE_A;2059
19/07/2021;loss;AME;2084;0;1;SPO;3989;SERIE_A;2084
24/07/2021;draw;AME;2109;1;1;GRE;4349;SERIE_A;2159
01/08/2021;draw;AME;2185;1;1;ATG;4074;SERIE_A;2235
08/08/2021;win;AME;2261;1;0;FLU;4555;SERIE_A;2361
16/08/2021;draw;AME;2388;1;1;CHA;3122;SERIE_A;2437
