date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
30/09/2020;draw;ATG;1501;0;0;COR;2483;SERIE_A;1551
12/08/2020;win;ATG;1552;3;0;FLA;2897;SERIE_A;1727
16/08/2020;draw;ATG;1728;1;1;SPO;1828;SERIE_A;1728
19/08/2020;loss;ATG;1730;0;3;INT;2702;SERIE_A;1730
22/08/2020;loss;ATG;1732;0;2;GOI;2454;SERIE_A;1730
30/08/2020;loss;ATG;1733;0;2;CEA;2644;SERIE_A;1732
02/09/2020;draw;ATG;1735;1;1;FLU;2884;SERIE_A;1785
06/09/2020;draw;ATG;1789;1;1;GRE;2877;SERIE_A;1839
10/09/2020;win;ATG;1843;2;1;VAS;2956;SERIE_A;1943
13/09/2020;win;ATG;1948;1;0;BAH;2788;SERIE_A;2047
19/09/2020;loss;ATG;2052;3;4;ATL;2942;SERIE_A;2051
27/09/2020;draw;ATG;2057;1;1;BOT;2831;SERIE_A;2105
04/10/2020;draw;ATG;2111;0;0;FOR;2879;SERIE_A;2160
07/10/2020;loss;ATG;2167;0;3;SAO;3085;SERIE_A;2166
11/10/2020;win;ATG;2173;2;1;RED;2019;SERIE_A;2192
14/10/2020;win;ATG;2200;1;0;SAN;3193;SERIE_A;2300
17/10/2020;draw;ATG;2308;1;1;ATH;2998;SERIE_A;2355
25/10/2020;loss;ATG;2364;0;3;PAL;3051;SERIE_A;2361
31/10/2020;loss;ATG;2370;0;1;CTB;2188;SERIE_A;2296
07/11/2020;draw;ATG;2306;1;1;COR;3220;SERIE_A;2355
14/11/2020;draw;ATG;2365;1;1;FLA;3369;SERIE_A;2415
23/11/2020;win;ATG;2426;1;0;SPO;2766;SERIE_A;2514
28/11/2020;draw;ATG;2525;0;0;INT;3273;SERIE_A;2573
07/12/2020;loss;ATG;2585;0;1;GOI;2949;SERIE_A;2567
12/12/2020;win;ATG;2579;2;1;CEA;3501;SERIE_A;2679
16/12/2020;win;ATG;2692;2;1;FLU;3512;SERIE_A;2790
27/12/2020;loss;ATG;2803;1;2;GRE;3558;SERIE_A;2802
07/01/2021;draw;ATG;2816;0;0;VAS;3396;SERIE_A;2860
10/01/2021;draw;ATG;2874;1;1;BAH;3388;SERIE_A;2916
17/01/2021;loss;ATG;2931;1;3;ATL;3673;SERIE_A;2930
20/01/2021;win;ATG;2945;3;1;BOT;3326;SERIE_A;3080
24/01/2021;win;ATG;3096;2;0;FOR;3411;SERIE_A;3212
31/01/2021;win;ATG;3228;2;1;SAO;3776;SERIE_A;3321
03/02/2021;loss;ATG;3338;0;2;RED;3385;SERIE_A;3295
06/02/2021;draw;ATG;3312;1;1;SAN;3785;SERIE_A;3352
14/02/2021;loss;ATG;3370;1;2;ATH;3979;SERIE_A;3367
22/02/2021;draw;ATG;3385;1;1;PAL;3848;SERIE_A;3428
25/02/2021;win;ATG;3447;3;1;CTB;2968;SERIE_A;3452
30/05/2021;win;ATG;3471;1;0;COR;3964;SERIE_A;3565
05/06/2021;win;ATG;3585;2;0;SAO;4087;SERIE_A;3722
21/07/2021;loss;ATG;3742;1;2;CUI;1489;SERIE_A;3642
17/06/2021;draw;ATG;3663;0;0;FOR;3854;SERIE_A;3676
20/06/2021;loss;ATG;3697;1;2;ATH;4282;SERIE_A;3694
23/06/2021;win;ATG;3716;1;0;FLU;4341;SERIE_A;3811
28/06/2021;loss;ATG;3833;0;1;RED;4117;SERIE_A;3807
01/07/2021;loss;ATG;3830;1;4;ATL;4284;SERIE_A;3823
04/07/2021;win;ATG;3846;1;0;GRE;4096;SERIE_A;3927
07/07/2021;draw;ATG;3951;1;1;SPO;3903;SERIE_A;3931
11/07/2021;draw;ATG;3955;1;1;JUV;1930;SERIE_A;3905
18/07/2021;loss;ATG;3930;0;3;PAL;4605;SERIE_A;3926
25/07/2021;win;ATG;3951;1;0;SAN;4530;SERIE_A;4048
01/08/2021;draw;ATG;4074;1;1;AME;2185;SERIE_A;4024
08/08/2021;draw;ATG;4050;0;0;CEA;4696;SERIE_A;4098
15/08/2021;win;ATG;4125;2;1;BAH;4438;SERIE_A;4211
