date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
27/04/2019;loss;AVA;1501;1;2;ATL;1786;SERIE_A;1485
01/05/2019;draw;AVA;1486;1;1;GRE;1741;SERIE_A;1507
05/05/2019;loss;AVA;1508;0;1;BAH;1694;SERIE_A;1482
12/05/2019;draw;AVA;1484;0;0;CSA;1553;SERIE_A;1480
19/05/2019;draw;AVA;1482;1;1;VAS;1676;SERIE_A;1507
27/05/2019;loss;AVA;1510;1;2;CEA;1713;SERIE_A;1474
02/06/2019;loss;AVA;1477;0;2;INT;1926;SERIE_A;1470
08/06/2019;draw;AVA;1474;0;0;SAO;1816;SERIE_A;1504
13/06/2019;loss;AVA;1508;0;2;PAL;2260;SERIE_A;1507
13/07/2019;loss;AVA;1512;0;2;FOR;1668;SERIE_A;1483
21/07/2019;draw;AVA;1488;0;0;GOI;1740;SERIE_A;1509
28/07/2019;loss;AVA;1515;1;3;SAN;2149;SERIE_A;1512
04/08/2019;loss;AVA;1518;0;2;BOT;1846;SERIE_A;1497
11/08/2019;draw;AVA;1504;2;2;CRU;1764;SERIE_A;1526
18/08/2019;loss;AVA;1533;0;1;CHA;1793;SERIE_A;1515
25/08/2019;draw;AVA;1523;1;1;COR;2132;SERIE_A;1568
02/09/2019;win;AVA;1576;1;0;FLU;1795;SERIE_A;1654
07/09/2019;loss;AVA;1663;0;3;FLA;2336;SERIE_A;1659
15/09/2019;win;AVA;1668;1;0;ATH;2091;SERIE_A;1760
23/09/2019;win;AVA;1770;1;0;ATL;1925;SERIE_A;1828
26/09/2019;loss;AVA;1838;1;6;GRE;2313;SERIE_A;1832
30/09/2019;loss;AVA;1843;0;2;BAH;2223;SERIE_A;1826
06/10/2019;loss;AVA;1837;1;3;CSA;1902;SERIE_A;1796
10/10/2019;draw;AVA;1808;0;0;VAS;2098;SERIE_A;1833
13/10/2019;loss;AVA;1845;0;1;CEA;1963;SERIE_A;1811
17/10/2019;loss;AVA;1824;0;2;INT;2240;SERIE_A;1810
20/10/2019;loss;AVA;1823;0;1;SAO;2275;SERIE_A;1816
27/10/2019;loss;AVA;1830;1;2;PAL;2414;SERIE_A;1824
30/10/2019;loss;AVA;1838;1;3;FOR;2098;SERIE_A;1810
03/11/2019;loss;AVA;1825;0;2;GOI;2161;SERIE_A;1812
06/11/2019;loss;AVA;1827;1;2;SAN;2471;SERIE_A;1823
11/11/2019;loss;AVA;1839;0;2;BOT;2173;SERIE_A;1826
18/11/2019;draw;AVA;1842;0;0;CRU;2424;SERIE_A;1889
24/11/2019;loss;AVA;1906;0;1;CHA;2348;SERIE_A;1894
27/11/2019;loss;AVA;1911;0;3;COR;2376;SERIE_A;1905
01/12/2019;draw;AVA;1923;1;1;FLU;2537;SERIE_A;1968
05/12/2019;loss;AVA;1986;1;6;FLA;2966;SERIE_A;1986
08/12/2019;draw;AVA;2005;0;0;ATH;2820;SERIE_A;2053
