date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;loss;BAH;1501;0;2;INT;1501;SERIE_A;1451
21/04/2018;win;BAH;1452;1;0;SAN;1556;SERIE_A;1503
29/04/2018;draw;BAH;1504;0;0;ATH;1510;SERIE_A;1491
06/05/2018;loss;BAH;1493;0;2;SPO;1490;SERIE_A;1443
13/05/2018;draw;BAH;1445;2;2;SAO;1513;SERIE_A;1440
19/05/2018;loss;BAH;1443;0;3;PAL;1532;SERIE_A;1406
27/05/2018;win;BAH;1409;3;0;VAS;1521;SERIE_A;1500
31/05/2018;loss;BAH;1504;0;2;FLA;1626;SERIE_A;1471
03/06/2018;loss;BAH;1475;0;2;GRE;1491;SERIE_A;1413
07/06/2018;loss;BAH;1418;0;1;PAR;1377;SERIE_A;1362
10/06/2018;draw;BAH;1367;3;3;BOT;1458;SERIE_A;1366
13/06/2018;win;BAH;1372;1;0;COR;1458;SERIE_A;1420
19/07/2018;draw;BAH;1426;1;1;CHA;1494;SERIE_A;1436
22/07/2018;win;BAH;1443;4;1;VIT;1456;SERIE_A;1509
29/08/2018;win;BAH;1516;2;0;CEA;1388;SERIE_A;1565
30/07/2018;draw;BAH;1573;2;2;ATL;1576;SERIE_A;1559
05/08/2018;draw;BAH;1567;1;1;FLU;1459;SERIE_A;1552
11/08/2018;win;BAH;1561;1;0;AME;1498;SERIE_A;1589
19/08/2018;draw;BAH;1598;1;1;CRU;1455;SERIE_A;1579
22/08/2018;loss;BAH;1589;0;1;INT;1746;SERIE_A;1547
25/08/2018;loss;BAH;1557;0;2;SAN;1488;SERIE_A;1497
02/09/2018;loss;BAH;1508;0;2;ATH;1602;SERIE_A;1471
05/09/2018;win;BAH;1482;2;0;SPO;1325;SERIE_A;1510
08/09/2018;loss;BAH;1522;0;1;SAO;1682;SERIE_A;1494
16/09/2018;draw;BAH;1506;1;1;PAL;1825;SERIE_A;1534
24/09/2018;loss;BAH;1547;1;2;VAS;1440;SERIE_A;1482
29/09/2018;draw;BAH;1495;0;0;FLA;1646;SERIE_A;1502
06/10/2018;draw;BAH;1516;2;2;GRE;1764;SERIE_A;1547
13/10/2018;win;BAH;1561;2;0;PAR;1335;SERIE_A;1581
20/10/2018;win;BAH;1596;1;0;BOT;1602;SERIE_A;1647
27/10/2018;loss;BAH;1662;1;2;COR;1520;SERIE_A;1593
04/11/2018;win;BAH;1609;1;0;CHA;1523;SERIE_A;1635
11/11/2018;draw;BAH;1651;2;2;VIT;1485;SERIE_A;1629
14/11/2018;win;BAH;1646;2;1;CEA;1711;SERIE_A;1691
17/11/2018;loss;BAH;1708;0;1;ATL;1613;SERIE_A;1645
22/11/2018;win;BAH;1663;2;0;FLU;1592;SERIE_A;1704
25/11/2018;loss;BAH;1722;0;1;AME;1527;SERIE_A;1647
02/12/2018;draw;BAH;1666;0;0;CRU;1701;SERIE_A;1657
28/04/2019;win;BAH;1676;3;2;COR;1605;SERIE_A;1703
02/05/2019;loss;BAH;1723;2;3;BOT;1730;SERIE_A;1674
05/05/2019;win;BAH;1694;1;0;AVA;1508;SERIE_A;1710
12/05/2019;loss;BAH;1731;0;1;ATH;1882;SERIE_A;1701
19/05/2019;draw;BAH;1722;0;0;SAO;1862;SERIE_A;1741
26/05/2019;win;BAH;1763;3;2;FLU;1754;SERIE_A;1798
01/06/2019;win;BAH;1820;1;0;GRE;1757;SERIE_A;1848
08/06/2019;draw;BAH;1871;0;0;CEA;1735;SERIE_A;1852
12/06/2019;loss;BAH;1875;1;3;INT;1895;SERIE_A;1828
13/07/2019;loss;BAH;1852;0;1;SAN;2059;SERIE_A;1817
20/07/2019;draw;BAH;1841;0;0;CRU;1742;SERIE_A;1815
28/07/2019;draw;BAH;1840;0;0;CHA;1718;SERIE_A;1823
04/08/2019;win;BAH;1848;3;0;FLA;2093;SERIE_A;1970
11/08/2019;draw;BAH;1996;2;2;PAL;2184;SERIE_A;2021
18/08/2019;draw;BAH;2047;1;1;GOI;1706;SERIE_A;2004
24/08/2019;win;BAH;2031;1;0;ATL;1996;SERIE_A;2076
31/08/2019;win;BAH;2103;1;0;CSA;1693;SERIE_A;2108
07/09/2019;win;BAH;2136;2;0;VAS;2035;SERIE_A;2190
15/09/2019;draw;BAH;2218;1;1;FOR;1786;SERIE_A;2172
21/09/2019;loss;BAH;2201;1;2;COR;2096;SERIE_A;2136
25/09/2019;win;BAH;2165;2;0;BOT;2008;SERIE_A;2193
30/09/2019;win;BAH;2223;2;0;AVA;1843;SERIE_A;2238
05/10/2019;loss;BAH;2268;1;2;ATH;2104;SERIE_A;2186
09/10/2019;draw;BAH;2217;0;0;SAO;2214;SERIE_A;2203
12/10/2019;loss;BAH;2234;0;2;FLU;2147;SERIE_A;2172
16/10/2019;win;BAH;2204;1;0;GRE;2397;SERIE_A;2279
21/10/2019;loss;BAH;2311;1;2;CEA;2037;SERIE_A;2221
26/10/2019;loss;BAH;2254;2;3;INT;2244;SERIE_A;2189
31/10/2019;loss;BAH;2222;0;1;SAN;2367;SERIE_A;2192
03/11/2019;draw;BAH;2226;1;1;CRU;2361;SERIE_A;2245
06/11/2019;draw;BAH;2279;1;1;CHA;2206;SERIE_A;2256
10/11/2019;loss;BAH;2291;1;3;FLA;2781;SERIE_A;2285
17/11/2019;draw;BAH;2320;1;1;PAL;2625;SERIE_A;2346
