date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
16/04/2018;draw;BOT;1501;1;1;PAL;1501;SERIE_A;1487
23/04/2018;draw;BOT;1488;1;1;SPO;1452;SERIE_A;1483
28/04/2018;win;BOT;1484;2;1;GRE;1533;SERIE_A;1527
06/05/2018;loss;BOT;1529;0;1;CRU;1408;SERIE_A;1462
14/05/2018;win;BOT;1464;2;1;FLU;1520;SERIE_A;1508
20/05/2018;loss;BOT;1511;0;1;AME;1479;SERIE_A;1456
27/05/2018;draw;BOT;1459;1;1;VIT;1466;SERIE_A;1446
30/05/2018;loss;BOT;1450;2;3;SAO;1617;SERIE_A;1422
02/06/2018;win;BOT;1426;2;1;VAS;1484;SERIE_A;1484
06/06/2018;draw;BOT;1489;0;0;CEA;1270;SERIE_A;1453
10/06/2018;draw;BOT;1458;3;3;BAH;1367;SERIE_A;1445
13/06/2018;win;BOT;1451;2;0;ATH;1333;SERIE_A;1484
18/07/2018;loss;BOT;1490;0;2;COR;1402;SERIE_A;1428
21/07/2018;loss;BOT;1435;0;2;FLA;1664;SERIE_A;1414
26/07/2018;win;BOT;1421;1;0;CHA;1472;SERIE_A;1464
29/07/2018;loss;BOT;1472;0;3;INT;1582;SERIE_A;1437
04/08/2018;draw;BOT;1445;0;0;SAN;1441;SERIE_A;1430
12/08/2018;draw;BOT;1439;1;1;PAR;1325;SERIE_A;1423
19/08/2018;loss;BOT;1432;0;3;ATL;1583;SERIE_A;1389
22/08/2018;loss;BOT;1399;0;2;PAL;1678;SERIE_A;1382
25/08/2018;win;BOT;1392;2;0;SPO;1290;SERIE_A;1428
01/09/2018;loss;BOT;1439;0;4;GRE;1646;SERIE_A;1416
05/09/2018;draw;BOT;1427;1;1;CRU;1586;SERIE_A;1435
09/09/2018;loss;BOT;1447;0;1;FLU;1514;SERIE_A;1407
16/09/2018;win;BOT;1419;1;0;AME;1533;SERIE_A;1471
23/09/2018;win;BOT;1484;4;3;VIT;1526;SERIE_A;1540
30/09/2018;draw;BOT;1553;2;2;SAO;1696;SERIE_A;1559
09/10/2018;draw;BOT;1573;1;1;VAS;1494;SERIE_A;1549
15/10/2018;draw;BOT;1563;0;0;CEA;1742;SERIE_A;1587
20/10/2018;loss;BOT;1602;0;1;BAH;1596;SERIE_A;1537
27/10/2018;loss;BOT;1552;1;2;ATH;1673;SERIE_A;1519
04/11/2018;win;BOT;1535;1;0;COR;1592;SERIE_A;1579
10/11/2018;win;BOT;1595;2;1;FLA;1811;SERIE_A;1661
15/11/2018;win;BOT;1678;1;0;CHA;1603;SERIE_A;1717
18/11/2018;win;BOT;1734;1;0;INT;1813;SERIE_A;1781
21/11/2018;draw;BOT;1799;1;1;SAN;1634;SERIE_A;1777
26/11/2018;win;BOT;1795;2;1;PAR;1466;SERIE_A;1803
01/12/2018;loss;BOT;1822;0;1;ATL;1716;SERIE_A;1757
27/04/2019;loss;BOT;1776;0;2;SAO;1660;SERIE_A;1710
02/05/2019;win;BOT;1730;3;2;BAH;1723;SERIE_A;1765
05/05/2019;win;BOT;1785;1;0;FOR;1588;SERIE_A;1800
11/05/2019;win;BOT;1821;1;0;FLU;1653;SERIE_A;1849
19/05/2019;loss;BOT;1870;0;1;GOI;1579;SERIE_A;1786
25/05/2019;loss;BOT;1808;0;1;PAL;2165;SERIE_A;1789
02/06/2019;win;BOT;1811;1;0;VAS;1685;SERIE_A;1832
09/06/2019;win;BOT;1855;2;1;CSA;1581;SERIE_A;1872
12/06/2019;loss;BOT;1895;0;1;GRE;1786;SERIE_A;1818
14/07/2019;draw;BOT;1842;0;0;CRU;1714;SERIE_A;1824
21/07/2019;loss;BOT;1848;0;1;SAN;2106;SERIE_A;1819
28/07/2019;loss;BOT;1844;2;3;FLA;2054;SERIE_A;1821
04/08/2019;win;BOT;1846;2;0;AVA;1518;SERIE_A;1866
11/08/2019;win;BOT;1892;2;1;ATH;1977;SERIE_A;1940
17/08/2019;loss;BOT;1966;0;2;COR;2069;SERIE_A;1930
26/08/2019;draw;BOT;1957;0;0;CHA;1831;SERIE_A;1928
31/08/2019;loss;BOT;1955;2;3;INT;1966;SERIE_A;1907
08/09/2019;win;BOT;1935;2;1;ATL;1962;SERIE_A;1975
14/09/2019;draw;BOT;2003;0;0;CEA;2021;SERIE_A;2006
21/09/2019;loss;BOT;2035;1;2;SAO;2090;SERIE_A;1979
25/09/2019;loss;BOT;2008;0;2;BAH;2165;SERIE_A;1979
30/09/2019;loss;BOT;2009;0;1;FOR;1825;SERIE_A;1935
06/10/2019;loss;BOT;1965;0;1;FLU;2058;SERIE_A;1914
09/10/2019;win;BOT;1945;3;1;GOI;2091;SERIE_A;2030
12/10/2019;loss;BOT;2061;0;1;PAL;2307;SERIE_A;2041
16/10/2019;loss;BOT;2073;1;2;VAS;2148;SERIE_A;2034
21/10/2019;win;BOT;2066;2;1;CSA;2012;SERIE_A;2095
27/10/2019;loss;BOT;2128;0;3;GRE;2288;SERIE_A;2100
31/10/2019;loss;BOT;2133;0;2;CRU;2282;SERIE_A;2090
03/11/2019;loss;BOT;2124;1;4;SAN;2421;SERIE_A;2109
07/11/2019;loss;BOT;2143;0;1;FLA;2743;SERIE_A;2138
11/11/2019;win;BOT;2173;2;0;AVA;1839;SERIE_A;2184
17/11/2019;loss;BOT;2219;0;1;ATH;2562;SERIE_A;2207
24/11/2019;win;BOT;2243;1;0;COR;2413;SERIE_A;2303
27/11/2019;win;BOT;2339;1;0;CHA;2391;SERIE_A;2396
30/11/2019;loss;BOT;2433;0;1;INT;2404;SERIE_A;2365
04/12/2019;loss;BOT;2402;0;2;ATL;2493;SERIE_A;2365
08/12/2019;draw;BOT;2403;1;1;CEA;2436;SERIE_A;2393
30/09/2020;loss;BOT;2431;1;2;BAH;2462;SERIE_A;2371
12/08/2020;draw;BOT;2410;1;1;RED;1552;SERIE_A;2361
16/08/2020;draw;BOT;2400;0;0;FOR;2536;SERIE_A;2419
19/08/2020;win;BOT;2459;2;1;ATL;2787;SERIE_A;2538
23/08/2020;draw;BOT;2578;1;1;FLA;2893;SERIE_A;2614
29/08/2020;loss;BOT;2655;0;2;INT;2819;SERIE_A;2614
02/09/2020;draw;BOT;2655;0;0;CTB;1664;SERIE_A;2605
05/09/2020;draw;BOT;2647;2;2;COR;2718;SERIE_A;2657
09/09/2020;draw;BOT;2699;1;1;ATH;2880;SERIE_A;2723
13/09/2020;loss;BOT;2766;2;3;VAS;2899;SERIE_A;2721
20/09/2020;draw;BOT;2764;0;0;SAN;3039;SERIE_A;2787
27/09/2020;draw;BOT;2831;1;1;ATG;2057;SERIE_A;2782
04/10/2020;draw;BOT;2826;1;1;FLU;2928;SERIE_A;2826
07/10/2020;win;BOT;2871;2;1;PAL;3184;SERIE_A;2948
11/10/2020;win;BOT;2993;2;1;SPO;2529;SERIE_A;2999
14/10/2020;loss;BOT;3045;1;3;GRE;3079;SERIE_A;3000
19/10/2020;draw;BOT;3046;0;0;GOI;2673;SERIE_A;3002
09/12/2020;loss;BOT;3049;0;4;SAO;3293;SERIE_A;3029
31/10/2020;draw;BOT;3076;2;2;CEA;3199;SERIE_A;3079
08/11/2020;loss;BOT;3127;0;1;BAH;3146;SERIE_A;3080
16/11/2020;loss;BOT;3128;1;2;RED;2419;SERIE_A;3029
22/11/2020;loss;BOT;3078;1;2;FOR;3032;SERIE_A;3008
25/11/2020;loss;BOT;3057;1;2;ATL;3340;SERIE_A;3041
05/12/2020;loss;BOT;3091;0;1;FLA;3565;SERIE_A;3081
12/12/2020;loss;BOT;3131;1;2;INT;3341;SERIE_A;3108
19/12/2020;win;BOT;3159;2;1;CTB;2387;SERIE_A;3160
27/12/2020;loss;BOT;3211;0;2;COR;3539;SERIE_A;3190
06/01/2021;loss;BOT;3242;0;2;ATH;3472;SERIE_A;3210
10/01/2021;loss;BOT;3262;0;3;VAS;3401;SERIE_A;3231
17/01/2021;loss;BOT;3284;1;2;SAN;3643;SERIE_A;3273
20/01/2021;loss;BOT;3326;1;3;ATG;2945;SERIE_A;3232
24/01/2021;loss;BOT;3286;0;2;FLU;3686;SERIE_A;3277
02/02/2021;draw;BOT;3331;1;1;PAL;3746;SERIE_A;3373
05/02/2021;loss;BOT;3428;0;1;SPO;3296;SERIE_A;3349
08/02/2021;loss;BOT;3404;2;5;GRE;3833;SERIE_A;3391
13/02/2021;loss;BOT;3447;0;2;GOI;3577;SERIE_A;3415
22/02/2021;win;BOT;3471;1;0;SAO;3939;SERIE_A;3560
25/02/2021;loss;BOT;3617;1;2;CEA;3902;SERIE_A;3601
