date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
14/04/2018;loss;CRU;1500;0;1;GRE;1500;SERIE_A;1436
22/04/2018;loss;CRU;1436;0;1;FLU;1450;SERIE_A;1388
29/04/2018;draw;CRU;1388;0;0;INT;1496;SERIE_A;1403
06/05/2018;win;CRU;1403;1;0;BOT;1524;SERIE_A;1456
13/05/2018;win;CRU;1456;2;0;SPO;1540;SERIE_A;1528
19/05/2018;loss;CRU;1528;0;1;ATL;1569;SERIE_A;1484
27/05/2018;win;CRU;1484;1;0;SAN;1424;SERIE_A;1525
30/05/2018;win;CRU;1525;1;0;PAL;1490;SERIE_A;1556
03/06/2018;win;CRU;1556;1;0;CEA;1269;SERIE_A;1572
06/06/2018;draw;CRU;1572;1;1;VAS;1392;SERIE_A;1539
09/06/2018;loss;CRU;1539;0;2;CHA;1379;SERIE_A;1467
13/06/2018;draw;CRU;1467;1;1;PAR;1378;SERIE_A;1454
19/07/2018;win;CRU;1454;3;1;AME;1355;SERIE_A;1490
22/07/2018;win;CRU;1490;2;1;ATH;1294;SERIE_A;1505
25/07/2018;loss;CRU;1505;0;2;COR;1409;SERIE_A;1442
29/07/2018;loss;CRU;1442;0;2;SAO;1602;SERIE_A;1401
05/08/2018;draw;CRU;1401;1;1;VIT;1331;SERIE_A;1391
12/08/2018;loss;CRU;1391;0;1;FLA;1560;SERIE_A;1364
19/08/2018;draw;CRU;1364;1;1;BAH;1507;SERIE_A;1370
22/08/2018;draw;CRU;1370;1;1;GRE;1637;SERIE_A;1402
25/08/2018;win;CRU;1402;2;1;FLU;1398;SERIE_A;1437
02/09/2018;draw;CRU;1437;0;0;INT;1650;SERIE_A;1453
05/09/2018;draw;CRU;1453;1;1;BOT;1294;SERIE_A;1432
08/09/2018;draw;CRU;1432;0;0;SPO;1163;SERIE_A;1400
16/09/2018;draw;CRU;1400;0;0;ATL;1534;SERIE_A;1405
23/09/2018;win;CRU;1405;2;1;SAN;1519;SERIE_A;1457
30/09/2018;loss;CRU;1457;1;3;PAL;1638;SERIE_A;1431
24/10/2018;loss;CRU;1431;0;2;CEA;1463;SERIE_A;1371
14/10/2018;loss;CRU;1371;0;2;VAS;1308;SERIE_A;1312
21/10/2018;win;CRU;1312;3;0;CHA;1257;SERIE_A;1363
27/10/2018;win;CRU;1363;3;1;PAR;1090;SERIE_A;1379
04/11/2018;win;CRU;1379;2;1;AME;1254;SERIE_A;1412
10/11/2018;loss;CRU;1412;0;2;ATH;1407;SERIE_A;1361
14/11/2018;win;CRU;1361;1;0;COR;1285;SERIE_A;1388
18/11/2018;loss;CRU;1388;0;1;SAO;1404;SERIE_A;1340
21/11/2018;win;CRU;1340;3;0;VIT;1206;SERIE_A;1376
25/11/2018;loss;CRU;1376;0;2;FLA;1567;SERIE_A;1339
02/12/2018;draw;CRU;1339;0;0;BAH;1304;SERIE_A;1334
27/04/2019;loss;CRU;1334;1;3;FLA;1523;SERIE_A;1309
01/05/2019;win;CRU;1309;1;0;CEA;1361;SERIE_A;1352
05/05/2019;win;CRU;1352;2;1;GOI;1436;SERIE_A;1400
12/05/2019;loss;CRU;1400;1;3;INT;1361;SERIE_A;1344
18/05/2019;loss;CRU;1344;1;4;FLU;1215;SERIE_A;1276
26/05/2019;loss;CRU;1276;1;2;CHA;1238;SERIE_A;1207
02/06/2019;draw;CRU;1207;1;1;SAO;1380;SERIE_A;1230
08/06/2019;draw;CRU;1230;0;0;COR;1457;SERIE_A;1248
12/06/2019;loss;CRU;1248;1;2;FOR;1294;SERIE_A;1205
14/07/2019;draw;CRU;1205;0;0;BOT;1357;SERIE_A;1212
20/07/2019;draw;CRU;1212;0;0;BAH;1287;SERIE_A;1223
27/07/2019;loss;CRU;1223;0;2;ATH;1387;SERIE_A;1182
04/08/2019;loss;CRU;1182;0;2;ATL;1368;SERIE_A;1156
11/08/2019;draw;CRU;1156;2;2;AVA;1140;SERIE_A;1154
18/08/2019;win;CRU;1154;2;0;SAN;1512;SERIE_A;1276
25/08/2019;draw;CRU;1276;1;1;CSA;1218;SERIE_A;1268
01/09/2019;win;CRU;1268;1;0;VAS;1414;SERIE_A;1325
08/09/2019;loss;CRU;1325;1;4;GRE;1369;SERIE_A;1267
14/09/2019;loss;CRU;1267;0;1;PAL;1485;SERIE_A;1245
21/09/2019;loss;CRU;1245;1;2;FLA;1646;SERIE_A;1230
25/09/2019;draw;CRU;1230;0;0;CEA;1221;SERIE_A;1229
30/09/2019;loss;CRU;1229;0;1;GOI;1339;SERIE_A;1194
05/10/2019;draw;CRU;1194;1;1;INT;1419;SERIE_A;1211
09/10/2019;draw;CRU;1211;0;0;FLU;1289;SERIE_A;1208
13/10/2019;draw;CRU;1208;1;1;CHA;1044;SERIE_A;1186
16/10/2019;win;CRU;1186;1;0;SAO;1410;SERIE_A;1253
19/10/2019;win;CRU;1253;2;1;COR;1356;SERIE_A;1317
26/10/2019;draw;CRU;1317;1;1;FOR;1240;SERIE_A;1294
31/10/2019;win;CRU;1294;2;0;BOT;1165;SERIE_A;1342
03/11/2019;draw;CRU;1342;1;1;BAH;1188;SERIE_A;1311
06/11/2019;draw;CRU;1311;0;0;ATH;1433;SERIE_A;1328
10/11/2019;draw;CRU;1328;0;0;ATL;1256;SERIE_A;1305
18/11/2019;draw;CRU;1305;0;0;AVA;934;SERIE_A;1261
23/11/2019;loss;CRU;1261;1;4;SAN;1418;SERIE_A;1232
28/11/2019;loss;CRU;1232;0;1;CSA;1047;SERIE_A;1148
02/12/2019;loss;CRU;1148;0;1;VAS;1260;SERIE_A;1114
05/12/2019;loss;CRU;1114;0;2;GRE;1479;SERIE_A;1103
08/12/2019;loss;CRU;1103;0;2;PAL;1294;SERIE_A;1066
