date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
28/04/2019;loss;CSA;1501;0;4;CEA;1742;SERIE_A;1481
01/05/2019;draw;CSA;1482;1;1;PAL;2073;SERIE_A;1526
05/05/2019;draw;CSA;1527;0;0;SAN;1805;SERIE_A;1551
12/05/2019;draw;CSA;1553;0;0;AVA;1484;SERIE_A;1543
19/05/2019;loss;CSA;1545;0;2;INT;1877;SERIE_A;1532
27/05/2019;win;CSA;1535;1;0;GOI;1657;SERIE_A;1588
02/06/2019;loss;CSA;1591;0;4;ATL;1902;SERIE_A;1577
09/06/2019;loss;CSA;1581;1;2;BOT;1855;SERIE_A;1554
12/06/2019;loss;CSA;1558;0;2;FLA;1983;SERIE_A;1545
14/07/2019;loss;CSA;1550;0;1;COR;1913;SERIE_A;1539
20/07/2019;loss;CSA;1544;0;4;ATH;1930;SERIE_A;1528
29/07/2019;draw;CSA;1534;0;0;GRE;1954;SERIE_A;1570
04/08/2019;draw;CSA;1576;0;0;VAS;1931;SERIE_A;1615
12/08/2019;loss;CSA;1622;0;2;FOR;1694;SERIE_A;1568
18/08/2019;win;CSA;1575;1;0;FLU;1839;SERIE_A;1657
25/08/2019;draw;CSA;1665;1;1;CRU;1912;SERIE_A;1685
31/08/2019;loss;CSA;1693;0;1;BAH;2103;SERIE_A;1684
08/09/2019;win;CSA;1693;2;0;CHA;1868;SERIE_A;1784
15/09/2019;draw;CSA;1793;1;1;SAO;2102;SERIE_A;1829
22/09/2019;win;CSA;1839;1;0;CEA;2034;SERIE_A;1902
26/09/2019;loss;CSA;1912;2;6;PAL;2308;SERIE_A;1903
29/09/2019;loss;CSA;1914;0;2;SAN;2120;SERIE_A;1891
06/10/2019;win;CSA;1902;3;1;AVA;1837;SERIE_A;1944
09/10/2019;win;CSA;1956;1;0;INT;2255;SERIE_A;2032
12/10/2019;loss;CSA;2044;0;1;GOI;2033;SERIE_A;1992
16/10/2019;draw;CSA;2005;2;2;ATL;2063;SERIE_A;1999
21/10/2019;loss;CSA;2012;1;2;BOT;2066;SERIE_A;1970
27/10/2019;loss;CSA;1984;0;1;FLA;2682;SERIE_A;1982
30/10/2019;win;CSA;1996;2;1;COR;2280;SERIE_A;2070
03/11/2019;loss;CSA;2085;0;1;ATH;2439;SERIE_A;2073
07/11/2019;loss;CSA;2088;1;2;GRE;2525;SERIE_A;2081
10/11/2019;loss;CSA;2097;0;3;VAS;2320;SERIE_A;2064
17/11/2019;loss;CSA;2080;0;3;FOR;2217;SERIE_A;2049
25/11/2019;loss;CSA;2066;0;1;FLU;2393;SERIE_A;2045
28/11/2019;win;CSA;2062;1;0;CRU;2419;SERIE_A;2151
01/12/2019;loss;CSA;2169;1;2;BAH;2373;SERIE_A;2134
04/12/2019;loss;CSA;2152;0;3;CHA;2373;SERIE_A;2130
08/12/2019;loss;CSA;2149;1;2;SAO;2616;SERIE_A;2138
