date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
08/08/2020;loss;CTB;1501;0;1;INT;2576;SERIE_A;1501
12/08/2020;loss;CTB;1502;0;1;BAH;2547;SERIE_A;1502
15/08/2020;loss;CTB;1503;0;1;FLA;2836;SERIE_A;1503
19/08/2020;loss;CTB;1505;1;3;COR;2563;SERIE_A;1505
23/08/2020;win;CTB;1507;2;1;RED;1706;SERIE_A;1583
30/08/2020;win;CTB;1586;1;0;SPO;1876;SERIE_A;1661
02/09/2020;draw;CTB;1664;0;0;BOT;2655;SERIE_A;1714
06/09/2020;loss;CTB;1718;0;1;ATL;2860;SERIE_A;1718
09/09/2020;draw;CTB;1722;3;3;GOI;2398;SERIE_A;1770
12/09/2020;loss;CTB;1775;0;1;ATH;2890;SERIE_A;1775
20/09/2020;win;CTB;1780;1;0;VAS;2974;SERIE_A;1880
28/09/2020;loss;CTB;1886;0;4;FLU;2884;SERIE_A;1886
04/10/2020;draw;CTB;1892;1;1;SAO;3090;SERIE_A;1942
07/10/2020;loss;CTB;1949;1;2;GRE;3032;SERIE_A;1949
10/10/2020;draw;CTB;1956;0;0;FOR;2959;SERIE_A;2005
14/10/2020;win;CTB;2013;3;1;PAL;3123;SERIE_A;2163
17/10/2020;loss;CTB;2171;1;2;SAN;3139;SERIE_A;2170
24/10/2020;loss;CTB;2179;1;2;CEA;3152;SERIE_A;2179
31/10/2020;win;CTB;2188;1;0;ATG;2370;SERIE_A;2250
08/11/2020;draw;CTB;2260;2;2;INT;3288;SERIE_A;2310
16/11/2020;loss;CTB;2320;1;2;BAH;3228;SERIE_A;2319
21/11/2020;loss;CTB;2330;1;3;FLA;3368;SERIE_A;2330
25/11/2020;loss;CTB;2341;0;1;COR;3277;SERIE_A;2340
05/12/2020;draw;CTB;2352;0;0;RED;2601;SERIE_A;2372
13/12/2020;loss;CTB;2384;0;1;SPO;2763;SERIE_A;2374
19/12/2020;loss;CTB;2387;1;2;BOT;3159;SERIE_A;2385
26/12/2020;loss;CTB;2398;0;2;ATL;3527;SERIE_A;2398
06/01/2021;loss;CTB;2412;1;2;GOI;3137;SERIE_A;2409
09/01/2021;draw;CTB;2423;0;0;ATH;3556;SERIE_A;2473
16/01/2021;win;CTB;2488;1;0;VAS;3489;SERIE_A;2588
20/01/2021;draw;CTB;2603;3;3;FLU;3682;SERIE_A;2653
23/01/2021;draw;CTB;2669;1;1;SAO;3772;SERIE_A;2719
31/01/2021;draw;CTB;2735;1;1;GRE;3797;SERIE_A;2785
04/02/2021;loss;CTB;2802;1;3;FOR;3386;SERIE_A;2799
17/02/2021;win;CTB;2816;1;0;PAL;3808;SERIE_A;2915
13/02/2021;loss;CTB;2933;0;2;SAN;3797;SERIE_A;2932
20/02/2021;loss;CTB;2950;0;2;CEA;3844;SERIE_A;2949
25/02/2021;loss;CTB;2968;1;3;ATG;3447;SERIE_A;2962
