date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
28/04/2019;win;GOI;1501;1;0;FLU;1620;SERIE_A;1567
01/05/2019;loss;GOI;1568;1;2;SAO;1758;SERIE_A;1531
05/05/2019;loss;GOI;1532;1;2;CRU;1773;SERIE_A;1512
11/05/2019;win;GOI;1514;2;1;CEA;1703;SERIE_A;1577
19/05/2019;win;GOI;1579;1;0;BOT;1870;SERIE_A;1654
27/05/2019;loss;GOI;1657;0;1;CSA;1535;SERIE_A;1590
07/08/2019;loss;GOI;1593;0;2;COR;1896;SERIE_A;1578
10/06/2019;win;GOI;1582;3;1;CHA;1772;SERIE_A;1676
13/06/2019;win;GOI;1680;2;1;ATH;1909;SERIE_A;1748
14/07/2019;loss;GOI;1753;1;6;FLA;2019;SERIE_A;1735
21/07/2019;draw;GOI;1740;0;0;AVA;1488;SERIE_A;1709
28/07/2019;draw;GOI;1715;0;0;ATL;1936;SERIE_A;1732
04/08/2019;loss;GOI;1738;1;6;SAN;2176;SERIE_A;1731
11/08/2019;loss;GOI;1738;0;1;VAS;1914;SERIE_A;1699
18/08/2019;draw;GOI;1706;1;1;BAH;2047;SERIE_A;1744
25/08/2019;win;GOI;1752;2;1;INT;2021;SERIE_A;1825
01/09/2019;loss;GOI;1833;0;2;FOR;1781;SERIE_A;1776
07/09/2019;loss;GOI;1785;1;2;PAL;2194;SERIE_A;1771
15/09/2019;loss;GOI;1780;0;3;GRE;2175;SERIE_A;1771
22/09/2019;win;GOI;1781;3;0;FLU;1938;SERIE_A;1883
25/09/2019;win;GOI;1893;1;0;SAO;2161;SERIE_A;1975
30/09/2019;win;GOI;1986;1;0;CRU;2027;SERIE_A;2028
06/10/2019;win;GOI;2039;1;0;CEA;1967;SERIE_A;2079
09/10/2019;loss;GOI;2091;1;3;BOT;1945;SERIE_A;2021
12/10/2019;win;GOI;2033;1;0;CSA;2044;SERIE_A;2070
16/10/2019;draw;GOI;2083;2;2;COR;2284;SERIE_A;2097
20/10/2019;draw;GOI;2110;2;2;CHA;1972;SERIE_A;2091
27/10/2019;loss;GOI;2105;1;4;ATH;2366;SERIE_A;2087
31/10/2019;draw;GOI;2101;2;2;FLA;2716;SERIE_A;2146
03/11/2019;win;GOI;2161;2;0;AVA;1825;SERIE_A;2172
06/11/2019;loss;GOI;2187;0;2;ATL;2210;SERIE_A;2140
09/11/2019;loss;GOI;2156;0;3;SAN;2508;SERIE_A;2137
18/11/2019;draw;GOI;2153;1;1;VAS;2393;SERIE_A;2183
24/11/2019;win;GOI;2200;4;3;BAH;2382;SERIE_A;2262
27/11/2019;win;GOI;2279;2;1;INT;2450;SERIE_A;2352
01/12/2019;loss;GOI;2370;1;2;FOR;2407;SERIE_A;2311
05/12/2019;loss;GOI;2329;1;5;PAL;2580;SERIE_A;2310
08/12/2019;win;GOI;2329;3;2;GRE;2801;SERIE_A;2418
03/12/2020;loss;GOI;2437;0;3;SAO;2660;SERIE_A;2404
12/08/2020;loss;GOI;2424;1;2;ATH;2875;SERIE_A;2417
15/08/2020;draw;GOI;2437;1;1;PAL;2727;SERIE_A;2471
19/08/2020;loss;GOI;2492;1;3;FOR;2527;SERIE_A;2433
22/08/2020;win;GOI;2454;2;0;ATG;1732;SERIE_A;2455
30/11/2020;loss;GOI;2477;1;2;GRE;2889;SERIE_A;2468
02/09/2020;loss;GOI;2490;1;2;COR;2647;SERIE_A;2448
06/09/2020;loss;GOI;2471;1;2;SPO;1937;SERIE_A;2375
09/09/2020;draw;GOI;2398;3;3;CTB;1722;SERIE_A;2349
13/09/2020;win;GOI;2373;1;0;INT;3018;SERIE_A;2469
13/10/2020;loss;GOI;2493;1;2;FLA;3109;SERIE_A;2490
27/09/2020;draw;GOI;2515;2;2;CEA;2882;SERIE_A;2554
04/10/2020;loss;GOI;2579;2;3;SAN;3057;SERIE_A;2569
07/10/2020;loss;GOI;2595;2;4;FLU;2959;SERIE_A;2577
10/10/2020;loss;GOI;2603;0;3;ATL;3124;SERIE_A;2598
16/10/2020;draw;GOI;2625;1;1;BAH;2883;SERIE_A;2646
19/10/2020;draw;GOI;2673;0;0;BOT;3046;SERIE_A;2713
24/10/2020;loss;GOI;2741;0;2;RED;2202;SERIE_A;2645
01/11/2020;draw;GOI;2673;1;1;VAS;2975;SERIE_A;2699
07/11/2020;loss;GOI;2728;1;2;SAO;3497;SERIE_A;2727
14/11/2020;loss;GOI;2756;0;1;ATH;3062;SERIE_A;2733
21/11/2020;win;GOI;2763;1;0;PAL;3403;SERIE_A;2859
26/11/2020;draw;GOI;2889;1;1;FOR;3119;SERIE_A;2918
07/12/2020;win;GOI;2949;1;0;ATG;2585;SERIE_A;2960
12/12/2020;draw;GOI;2991;0;0;GRE;3551;SERIE_A;3034
21/12/2020;loss;GOI;3066;1;2;COR;3483;SERIE_A;3058
26/12/2020;win;GOI;3090;1;0;SPO;2881;SERIE_A;3104
06/01/2021;win;GOI;3137;2;1;CTB;2412;SERIE_A;3139
10/01/2021;loss;GOI;3172;0;1;INT;3734;SERIE_A;3168
18/01/2021;loss;GOI;3202;0;3;FLA;3695;SERIE_A;3193
21/01/2021;loss;GOI;3227;0;4;CEA;3673;SERIE_A;3215
24/01/2021;win;GOI;3250;4;3;SAN;3664;SERIE_A;3342
31/01/2021;loss;GOI;3377;0;3;FLU;3748;SERIE_A;3366
03/02/2021;win;GOI;3402;1;0;ATL;3810;SERIE_A;3487
06/02/2021;draw;GOI;3523;3;3;BAH;3649;SERIE_A;3540
13/02/2021;win;GOI;3577;2;0;BOT;3447;SERIE_A;3609
21/02/2021;draw;GOI;3646;0;0;RED;3529;SERIE_A;3618
25/02/2021;loss;GOI;3656;2;3;VAS;3735;SERIE_A;3617
