date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
29/05/2021;draw;JUV;1501;2;2;CUI;1501;SERIE_A;1501
06/06/2021;loss;JUV;1502;0;3;ATH;4144;SERIE_A;1502
12/06/2021;draw;JUV;1503;0;0;SAN;4068;SERIE_A;1553
16/06/2021;loss;JUV;1555;0;3;PAL;4021;SERIE_A;1555
20/06/2021;win;JUV;1557;1;0;SPO;3819;SERIE_A;1657
24/06/2021;draw;JUV;1660;1;1;AME;1656;SERIE_A;1659
27/06/2021;win;JUV;1662;1;0;FLA;4290;SERIE_A;1762
30/06/2021;win;JUV;1766;2;0;GRE;4135;SERIE_A;1916
04/07/2021;loss;JUV;1920;0;2;CEA;4326;SERIE_A;1920
07/07/2021;loss;JUV;1925;0;1;BAH;4334;SERIE_A;1925
11/07/2021;draw;JUV;1930;1;1;ATG;3955;SERIE_A;1980
18/07/2021;loss;JUV;1986;0;1;INT;4368;SERIE_A;1986
26/07/2021;win;JUV;1992;1;0;CHA;3086;SERIE_A;2092
08/08/2021;loss;JUV;2099;1;2;ATL;4838;SERIE_A;2099
14/08/2021;win;JUV;2106;2;1;RED;4397;SERIE_A;2206
