date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
16/04/2018;loss;PAR;1500;0;1;SAO;1500;SERIE_A;1450
22/04/2018;loss;PAR;1450;0;4;COR;1536;SERIE_A;1398
29/04/2018;loss;PAR;1398;1;2;SPO;1441;SERIE_A;1340
07/05/2018;draw;PAR;1340;1;1;CHA;1461;SERIE_A;1357
13/05/2018;loss;PAR;1357;1;3;SAN;1429;SERIE_A;1317
20/05/2018;draw;PAR;1317;0;0;GRE;1455;SERIE_A;1322
27/05/2018;draw;PAR;1322;0;0;ATH;1351;SERIE_A;1312
30/05/2018;loss;PAR;1312;0;1;VAS;1442;SERIE_A;1280
04/06/2018;win;PAR;1280;2;1;FLU;1532;SERIE_A;1351
07/06/2018;win;PAR;1351;1;0;BAH;1392;SERIE_A;1393
10/06/2018;loss;PAR;1393;0;2;FLA;1695;SERIE_A;1378
13/06/2018;draw;PAR;1378;1;1;CRU;1467;SERIE_A;1376
18/07/2018;loss;PAR;1376;0;1;VIT;1369;SERIE_A;1325
22/07/2018;win;PAR;1325;1;0;AME;1319;SERIE_A;1360
25/07/2018;loss;PAR;1360;0;2;ATL;1478;SERIE_A;1326
29/07/2018;loss;PAR;1326;0;3;PAL;1514;SERIE_A;1301
05/08/2018;loss;PAR;1301;0;1;CEA;1345;SERIE_A;1243
12/08/2018;draw;PAR;1243;1;1;BOT;1357;SERIE_A;1245
19/08/2018;loss;PAR;1245;0;1;INT;1640;SERIE_A;1236
22/08/2018;draw;PAR;1236;1;1;SAO;1687;SERIE_A;1274
25/08/2018;loss;PAR;1274;0;1;COR;1345;SERIE_A;1234
02/09/2018;loss;PAR;1234;0;1;SPO;1143;SERIE_A;1171
05/09/2018;draw;PAR;1171;1;1;CHA;1347;SERIE_A;1182
09/09/2018;loss;PAR;1182;0;2;SAN;1509;SERIE_A;1161
15/09/2018;loss;PAR;1161;0;2;GRE;1490;SERIE_A;1148
23/09/2018;loss;PAR;1148;0;3;ATH;1479;SERIE_A;1135
01/10/2018;draw;PAR;1135;1;1;VAS;1321;SERIE_A;1147
08/10/2018;loss;PAR;1147;0;4;FLU;1358;SERIE_A;1124
13/10/2018;loss;PAR;1124;0;2;BAH;1350;SERIE_A;1103
21/10/2018;loss;PAR;1103;0;4;FLA;1541;SERIE_A;1090
27/10/2018;loss;PAR;1090;1;3;CRU;1363;SERIE_A;1073
04/11/2018;draw;PAR;1073;1;1;VIT;1234;SERIE_A;1082
10/11/2018;win;PAR;1082;1;0;AME;1208;SERIE_A;1149
14/11/2018;loss;PAR;1149;0;1;ATL;1273;SERIE_A;1102
18/11/2018;draw;PAR;1102;1;1;PAL;1699;SERIE_A;1147
22/11/2018;loss;PAR;1147;0;1;CEA;1349;SERIE_A;1123
26/11/2018;loss;PAR;1123;1;2;BOT;1452;SERIE_A;1110
02/12/2018;draw;PAR;1110;1;1;INT;1400;SERIE_A;1135
