date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
09/08/2020;draw;RED;1501;1;1;SAN;2685;SERIE_A;1551
12/08/2020;draw;RED;1552;1;1;BOT;2410;SERIE_A;1601
16/08/2020;loss;RED;1602;1;2;BAH;2586;SERIE_A;1602
19/08/2020;win;RED;1604;2;1;FLU;2749;SERIE_A;1704
23/08/2020;loss;RED;1706;1;2;CTB;1507;SERIE_A;1621
29/08/2020;loss;RED;1624;0;3;FOR;2635;SERIE_A;1624
02/09/2020;draw;RED;1627;1;1;ATH;2898;SERIE_A;1677
06/09/2020;loss;RED;1681;1;2;PAL;2949;SERIE_A;1681
09/09/2020;draw;RED;1685;1;1;SAO;2945;SERIE_A;1735
13/09/2020;loss;RED;1740;1;2;ATL;2899;SERIE_A;1740
19/09/2020;win;RED;1745;4;2;CEA;2938;SERIE_A;1895
27/09/2020;draw;RED;1901;1;1;VAS;2918;SERIE_A;1951
03/10/2020;draw;RED;1957;0;0;COR;2785;SERIE_A;2006
08/10/2020;loss;RED;2013;0;2;INT;3026;SERIE_A;2012
11/10/2020;loss;RED;2019;1;2;ATG;2173;SERIE_A;1990
15/10/2020;draw;RED;1998;1;1;FLA;3358;SERIE_A;2048
18/10/2020;win;RED;2056;2;0;SPO;2567;SERIE_A;2193
24/10/2020;win;RED;2202;2;0;GOI;2741;SERIE_A;2341
02/11/2020;loss;RED;2350;1;2;GRE;3300;SERIE_A;2350
08/11/2020;draw;RED;2360;1;1;SAN;3275;SERIE_A;2409
16/11/2020;win;RED;2419;2;1;BOT;3128;SERIE_A;2517
20/11/2020;win;RED;2528;4;0;BAH;3278;SERIE_A;2529
30/11/2020;draw;RED;2540;0;0;FLU;3416;SERIE_A;2589
05/12/2020;draw;RED;2601;0;0;CTB;2352;SERIE_A;2570
12/12/2020;win;RED;2582;2;1;FOR;3160;SERIE_A;2676
20/12/2020;loss;RED;2689;0;1;ATH;3289;SERIE_A;2684
27/12/2020;loss;RED;2697;0;1;PAL;3543;SERIE_A;2696
06/01/2021;win;RED;2710;4;2;SAO;3827;SERIE_A;2860
11/01/2021;draw;RED;2874;2;2;ATL;3669;SERIE_A;2922
17/01/2021;win;RED;2937;2;1;CEA;3719;SERIE_A;3036
20/01/2021;win;RED;3051;4;1;VAS;3442;SERIE_A;3198
25/01/2021;win;RED;3214;2;0;COR;3693;SERIE_A;3355
31/01/2021;loss;RED;3371;1;2;INT;3975;SERIE_A;3368
03/02/2021;win;RED;3385;2;0;ATG;3338;SERIE_A;3430
07/02/2021;draw;RED;3447;1;1;FLA;3964;SERIE_A;3489
15/02/2021;draw;RED;3507;0;0;SPO;3535;SERIE_A;3511
21/02/2021;draw;RED;3529;0;0;GOI;3646;SERIE_A;3545
25/02/2021;win;RED;3564;1;0;GRE;3999;SERIE_A;3651
30/05/2021;win;RED;3670;3;0;CHA;2488;SERIE_A;3670
05/06/2021;draw;RED;3690;3;3;BAH;4060;SERIE_A;3723
13/06/2021;draw;RED;3743;2;2;FLU;4233;SERIE_A;3783
16/06/2021;win;RED;3804;2;1;COR;4041;SERIE_A;3884
19/06/2021;win;RED;3905;3;2;FLA;4254;SERIE_A;3993
23/06/2021;win;RED;4015;3;1;PAL;4140;SERIE_A;4095
28/06/2021;win;RED;4117;1;0;ATG;3833;SERIE_A;4133
01/07/2021;draw;RED;4156;0;0;CEA;4283;SERIE_A;4160
04/07/2021;win;RED;4183;2;1;SAO;4248;SERIE_A;4242
07/07/2021;draw;RED;4266;1;1;CUI;1718;SERIE_A;4216
10/07/2021;draw;RED;4240;2;2;ATH;4542;SERIE_A;4275
18/07/2021;draw;RED;4300;2;2;SAN;4492;SERIE_A;4313
25/07/2021;loss;RED;4338;0;1;FOR;4389;SERIE_A;4295
31/07/2021;win;RED;4321;1;0;GRE;4362;SERIE_A;4363
06/08/2021;draw;RED;4389;0;0;SPO;4253;SERIE_A;4370
14/08/2021;loss;RED;4397;1;2;JUV;2106;SERIE_A;4297
