date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;loss;SPO;1501;0;3;AME;1501;SERIE_A;1451
23/04/2018;draw;SPO;1452;1;1;BOT;1488;SERIE_A;1443
29/04/2018;win;SPO;1444;2;1;PAR;1401;SERIE_A;1488
06/05/2018;win;SPO;1490;2;0;BAH;1493;SERIE_A;1545
13/05/2018;loss;SPO;1547;0;2;CRU;1463;SERIE_A;1485
20/05/2018;draw;SPO;1488;1;1;COR;1521;SERIE_A;1478
26/05/2018;win;SPO;1481;3;2;PAL;1579;SERIE_A;1545
30/05/2018;win;SPO;1549;3;2;ATL;1547;SERIE_A;1585
02/06/2018;draw;SPO;1589;0;0;INT;1612;SERIE_A;1592
06/06/2018;win;SPO;1597;1;0;ATH;1380;SERIE_A;1611
09/06/2018;loss;SPO;1616;2;3;VAS;1447;SERIE_A;1543
13/06/2018;draw;SPO;1549;0;0;GRE;1540;SERIE_A;1534
18/07/2018;loss;SPO;1540;0;1;CEA;1328;SERIE_A;1463
22/07/2018;loss;SPO;1470;1;2;FLU;1384;SERIE_A;1396
26/07/2018;loss;SPO;1403;0;1;VIT;1411;SERIE_A;1354
29/07/2018;loss;SPO;1362;1;4;FLA;1672;SERIE_A;1348
05/08/2018;draw;SPO;1356;1;1;CHA;1446;SERIE_A;1355
12/08/2018;loss;SPO;1364;1;3;SAO;1736;SERIE_A;1347
18/08/2018;loss;SPO;1356;0;3;SAN;1422;SERIE_A;1315
22/08/2018;loss;SPO;1325;0;2;AME;1459;SERIE_A;1280
25/08/2018;loss;SPO;1290;0;2;BOT;1392;SERIE_A;1254
02/09/2018;win;SPO;1265;1;0;PAR;1356;SERIE_A;1314
05/09/2018;loss;SPO;1325;0;2;BAH;1482;SERIE_A;1296
08/09/2018;draw;SPO;1308;0;0;CRU;1577;SERIE_A;1331
16/09/2018;loss;SPO;1343;1;2;COR;1466;SERIE_A;1310
23/09/2018;loss;SPO;1323;0;1;PAL;1802;SERIE_A;1313
30/09/2018;loss;SPO;1326;2;5;ATL;1634;SERIE_A;1311
05/10/2018;win;SPO;1325;2;1;INT;1750;SERIE_A;1412
