date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;win;VAS;1501;2;1;ATL;1501;SERIE_A;1537
22/04/2018;draw;VAS;1538;1;1;CHA;1452;SERIE_A;1526
27/09/2018;draw;VAS;1527;1;1;SAN;1492;SERIE_A;1522
05/05/2018;win;VAS;1524;4;1;AME;1536;SERIE_A;1590
13/05/2018;loss;VAS;1592;2;3;VIT;1346;SERIE_A;1504
19/05/2018;draw;VAS;1507;1;1;FLA;1586;SERIE_A;1518
27/05/2018;loss;VAS;1521;0;3;BAH;1409;SERIE_A;1455
30/05/2018;win;VAS;1459;1;0;PAR;1329;SERIE_A;1480
02/06/2018;loss;VAS;1484;1;2;BOT;1426;SERIE_A;1413
06/06/2018;draw;VAS;1418;1;1;CRU;1598;SERIE_A;1442
09/06/2018;win;VAS;1447;3;2;SPO;1616;SERIE_A;1507
13/06/2018;loss;VAS;1513;1;3;INT;1635;SERIE_A;1480
19/07/2018;draw;VAS;1486;1;1;FLU;1359;SERIE_A;1457
22/07/2018;win;VAS;1464;1;0;GRE;1625;SERIE_A;1523
29/08/2018;loss;VAS;1530;0;1;ATH;1327;SERIE_A;1454
29/07/2018;loss;VAS;1462;1;4;COR;1548;SERIE_A;1410
05/08/2018;loss;VAS;1418;1;2;SAO;1718;SERIE_A;1403
12/08/2018;loss;VAS;1412;0;1;PAL;1606;SERIE_A;1387
20/08/2018;draw;VAS;1396;1;1;CEA;1462;SERIE_A;1391
23/08/2018;draw;VAS;1401;0;0;ATL;1645;SERIE_A;1431
26/08/2018;win;VAS;1441;3;1;CHA;1557;SERIE_A;1519
01/09/2018;loss;VAS;1530;0;3;SAN;1567;SERIE_A;1471
06/09/2018;loss;VAS;1482;1;2;AME;1478;SERIE_A;1431
09/09/2018;loss;VAS;1443;0;1;VIT;1520;SERIE_A;1404
15/09/2018;draw;VAS;1416;1;1;FLA;1592;SERIE_A;1427
24/09/2018;win;VAS;1440;2;1;BAH;1547;SERIE_A;1491
01/10/2018;draw;VAS;1504;1;1;PAR;1318;SERIE_A;1480
09/10/2018;draw;VAS;1494;1;1;BOT;1573;SERIE_A;1505
14/10/2018;win;VAS;1519;2;0;CRU;1582;SERIE_A;1586
20/10/2018;loss;VAS;1601;1;2;SPO;1419;SERIE_A;1527
26/10/2018;draw;VAS;1542;1;1;INT;1743;SERIE_A;1556
03/11/2018;win;VAS;1572;1;0;FLU;1597;SERIE_A;1626
11/11/2018;loss;VAS;1642;1;2;GRE;1698;SERIE_A;1600
14/11/2018;draw;VAS;1617;1;1;ATH;1752;SERIE_A;1622
17/11/2018;loss;VAS;1639;0;1;COR;1553;SERIE_A;1577
22/11/2018;win;VAS;1595;2;0;SAO;1763;SERIE_A;1684
25/11/2018;loss;VAS;1702;0;1;PAL;1995;SERIE_A;1677
02/12/2018;draw;VAS;1696;0;0;CEA;1743;SERIE_A;1703
28/04/2019;loss;VAS;1722;1;4;ATH;1907;SERIE_A;1696
01/05/2019;loss;VAS;1716;1;2;ATL;1816;SERIE_A;1666
04/05/2019;draw;VAS;1686;1;1;COR;1669;SERIE_A;1670
12/05/2019;loss;VAS;1691;0;3;SAN;1793;SERIE_A;1655
19/05/2019;draw;VAS;1676;1;1;AVA;1482;SERIE_A;1642
26/05/2019;draw;VAS;1664;1;1;FOR;1657;SERIE_A;1663
02/06/2019;loss;VAS;1685;0;1;BOT;1811;SERIE_A;1652
07/06/2019;win;VAS;1675;2;1;INT;1955;SERIE_A;1749
13/06/2019;win;VAS;1772;1;0;CEA;1763;SERIE_A;1807
13/07/2019;loss;VAS;1831;1;2;GRE;1875;SERIE_A;1787
20/07/2019;win;VAS;1811;2;1;FLU;1785;SERIE_A;1844
27/07/2019;draw;VAS;1869;1;1;PAL;2196;SERIE_A;1906
04/08/2019;draw;VAS;1931;0;0;CSA;1576;SERIE_A;1888
11/08/2019;win;VAS;1914;1;0;GOI;1738;SERIE_A;1941
17/08/2019;loss;VAS;1967;1;4;FLA;2099;SERIE_A;1922
25/08/2019;win;VAS;1949;2;0;SAO;2190;SERIE_A;2053
01/09/2019;loss;VAS;2080;0;1;CRU;1908;SERIE_A;2007
07/09/2019;loss;VAS;2035;0;2;BAH;2136;SERIE_A;1985
14/09/2019;win;VAS;2013;2;1;CHA;1823;SERIE_A;2038
22/09/2019;draw;VAS;2067;1;1;ATH;2025;SERIE_A;2048
02/10/2019;win;VAS;2077;2;1;ATL;1883;SERIE_A;2102
