date;home_team_id;home_team_goals;away_team_goals;away_team_id;tournament_id
27/04/2019;SAO;2;0;BOT;SERIE_A
27/04/2019;ATL;2;1;AVA;SERIE_A
27/04/2019;CHA;2;0;INT;SERIE_A
27/04/2019;FLA;3;1;CRU;SERIE_A
28/04/2019;GRE;1;2;SAN;SERIE_A
28/04/2019;CEA;4;0;CSA;SERIE_A
28/04/2019;BAH;3;2;COR;SERIE_A
28/04/2019;ATH;4;1;VAS;SERIE_A
28/04/2019;PAL;4;0;FOR;SERIE_A
28/04/2019;FLU;0;1;GOI;SERIE_A
01/05/2019;COR;1;0;CHA;SERIE_A
01/05/2019;CSA;1;1;PAL;SERIE_A
01/05/2019;INT;2;1;FLA;SERIE_A
01/05/2019;CRU;1;0;CEA;SERIE_A
01/05/2019;AVA;1;1;GRE;SERIE_A
01/05/2019;FOR;2;1;ATH;SERIE_A
01/05/2019;VAS;1;2;ATL;SERIE_A
01/05/2019;GOI;1;2;SAO;SERIE_A
02/05/2019;SAN;2;1;FLU;SERIE_A
02/05/2019;BOT;3;2;BAH;SERIE_A
04/05/2019;VAS;1;1;COR;SERIE_A
04/05/2019;PAL;1;0;INT;SERIE_A
04/05/2019;CEA;1;2;ATL;SERIE_A
05/05/2019;CHA;1;1;ATH;SERIE_A
05/05/2019;SAO;1;1;FLA;SERIE_A
05/05/2019;CRU;2;1;GOI;SERIE_A
05/05/2019;BOT;1;0;FOR;SERIE_A
05/05/2019;CSA;0;0;SAN;SERIE_A
05/05/2019;BAH;1;0;AVA;SERIE_A
05/05/2019;GRE;4;5;FLU;SERIE_A
11/05/2019;FLU;0;1;BOT;SERIE_A
11/05/2019;COR;0;0;GRE;SERIE_A
11/05/2019;GOI;2;1;CEA;SERIE_A
12/05/2019;FLA;2;1;CHA;SERIE_A
12/05/2019;SAN;3;0;VAS;SERIE_A
12/05/2019;ATL;0;2;PAL;SERIE_A
12/05/2019;INT;3;1;CRU;SERIE_A
12/05/2019;FOR;0;1;SAO;SERIE_A
12/05/2019;AVA;0;0;CSA;SERIE_A
12/05/2019;ATH;1;0;BAH;SERIE_A
18/05/2019;FLU;4;1;CRU;SERIE_A
18/05/2019;ATL;2;1;FLA;SERIE_A
18/05/2019;PAL;4;0;SAN;SERIE_A
19/05/2019;SAO;0;0;BAH;SERIE_A
19/05/2019;ATH;0;2;COR;SERIE_A
19/05/2019;CHA;1;3;FOR;SERIE_A
19/05/2019;GOI;1;0;BOT;SERIE_A
19/05/2019;INT;2;0;CSA;SERIE_A
19/05/2019;VAS;1;1;AVA;SERIE_A
19/05/2019;CEA;2;1;GRE;SERIE_A
25/05/2019;BOT;0;1;PAL;SERIE_A
25/05/2019;GRE;1;0;ATL;SERIE_A
26/05/2019;SAN;0;0;INT;SERIE_A
26/05/2019;FLA;3;2;ATH;SERIE_A
26/05/2019;CRU;1;2;CHA;SERIE_A
26/05/2019;FOR;1;1;VAS;SERIE_A
26/05/2019;COR;1;0;SAO;SERIE_A
26/05/2019;BAH;3;2;FLU;SERIE_A
27/05/2019;AVA;1;2;CEA;SERIE_A
27/05/2019;CSA;1;0;GOI;SERIE_A
01/06/2019;FLA;2;0;FOR;SERIE_A
01/06/2019;BAH;1;0;GRE;SERIE_A
02/06/2019;BOT;1;0;VAS;SERIE_A
02/06/2019;ATH;3;0;FLU;SERIE_A
02/06/2019;CEA;0;1;SAN;SERIE_A
02/06/2019;SAO;1;1;CRU;SERIE_A
02/06/2019;INT;2;0;AVA;SERIE_A
02/06/2019;CHA;1;2;PAL;SERIE_A
02/06/2019;ATL;4;0;CSA;SERIE_A
07/08/2019;COR;2;0;GOI;SERIE_A
07/06/2019;VAS;2;1;INT;SERIE_A
08/06/2019;PAL;1;0;ATH;SERIE_A
08/06/2019;GRE;1;0;FOR;SERIE_A
08/06/2019;CRU;0;0;COR;SERIE_A
08/06/2019;CEA;0;0;BAH;SERIE_A
08/06/2019;AVA;0;0;SAO;SERIE_A
09/06/2019;SAN;3;1;ATL;SERIE_A
09/06/2019;FLU;0;0;FLA;SERIE_A
09/06/2019;CSA;1;2;BOT;SERIE_A
10/06/2019;GOI;3;1;CHA;SERIE_A
12/06/2019;BOT;0;1;GRE;SERIE_A
12/06/2019;FOR;2;1;CRU;SERIE_A
12/06/2019;SAN;1;0;COR;SERIE_A
12/06/2019;INT;3;1;BAH;SERIE_A
12/06/2019;CSA;0;2;FLA;SERIE_A
13/06/2019;VAS;1;0;CEA;SERIE_A
13/06/2019;PAL;2;0;AVA;SERIE_A
13/06/2019;CHA;1;1;FLU;SERIE_A
13/06/2019;GOI;2;1;ATH;SERIE_A
13/06/2019;ATL;1;1;SAO;SERIE_A
13/07/2019;GRE;2;1;VAS;SERIE_A
13/07/2019;FOR;2;0;AVA;SERIE_A
13/07/2019;BAH;0;1;SAN;SERIE_A
13/07/2019;SAO;1;1;PAL;SERIE_A
14/07/2019;FLA;6;1;GOI;SERIE_A
14/07/2019;CRU;0;0;BOT;SERIE_A
14/07/2019;COR;1;0;CSA;SERIE_A
14/07/2019;ATH;1;0;INT;SERIE_A
14/07/2019;CHA;1;2;ATL;SERIE_A
15/07/2019;FLU;1;1;CEA;SERIE_A
20/07/2019;VAS;2;1;FLU;SERIE_A
20/07/2019;BAH;0;0;CRU;SERIE_A
20/07/2019;INT;1;1;GRE;SERIE_A
20/07/2019;CEA;2;0;PAL;SERIE_A
20/07/2019;CSA;0;4;ATH;SERIE_A
21/07/2019;BOT;0;1;SAN;SERIE_A
21/07/2019;ATL;2;2;FOR;SERIE_A
21/07/2019;COR;1;1;FLA;SERIE_A
21/07/2019;AVA;0;0;GOI;SERIE_A
22/07/2019;SAO;4;0;CHA;SERIE_A
27/07/2019;PAL;1;1;VAS;SERIE_A
27/07/2019;FLU;1;2;SAO;SERIE_A
27/07/2019;CRU;0;2;ATH;SERIE_A
27/07/2019;INT;1;0;CEA;SERIE_A
28/07/2019;CHA;0;0;BAH;SERIE_A
28/07/2019;SAN;3;1;AVA;SERIE_A
28/07/2019;FLA;3;2;BOT;SERIE_A
28/07/2019;FOR;1;3;COR;SERIE_A
28/07/2019;GOI;0;0;ATL;SERIE_A
29/07/2019;CSA;0;0;GRE;SERIE_A
03/08/2019;CEA;2;1;FOR;SERIE_A
03/08/2019;FLU;2;1;INT;SERIE_A
04/08/2019;SAN;6;1;GOI;SERIE_A
04/08/2019;BAH;3;0;FLA;SERIE_A
