id;Ro;Rn;matches;wins;draws;losses
ATL;1414;1426;139;67;30;42
FLA;1330;1348;137;84;26;27
INT;1235;1284;139;65;40;34
COR;1193;1224;140;48;47;45
SAO;1165;1166;139;57;51;31
BAH;1130;1112;139;43;39;57
FLU;1154;1110;139;50;38;51
PAL;1103;1107;137;71;38;28
ATH;1124;1103;139;59;31;49
CEA;1103;1088;137;40;44;53
SAN;1085;1072;139;55;41;43
GRE;1010;977;138;57;42;39
VAS;1067;1121;114;32;37;45
BOT;940;921;114;31;28;55
SPO;1102;1161;101;29;23;49
FOR;1134;1156;102;37;25;40
CHA;966;974;102;19;32;51
GOI;1194;1126;76;24;17;35
CRU;1103;1066;76;21;26;29
RED;1222;1249;63;23;25;15
AME;1211;1164;65;17;20;28
ATG;1152;1112;63;19;24;20
VIT;1195;1189;38;9;10;19
PAR;1110;1135;38;4;11;23
AVA;952;996;38;3;11;24
CSA;1020;995;38;8;8;22
CTB;1013;986;38;7;10;21
CUI;1175;1160;25;6;13;6
JUV;1083;1064;25;6;9;10
