date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;win;AME;1500;3;0;SPO;1500;SERIE_A;1563
21/04/2018;loss;AME;1563;0;2;FLA;1500;SERIE_A;1504
30/04/2018;win;AME;1504;2;1;VIT;1431;SERIE_A;1531
05/05/2018;loss;AME;1531;1;4;VAS;1519;SERIE_A;1479
14/05/2018;draw;AME;1479;2;2;CEA;1412;SERIE_A;1469
20/05/2018;win;AME;1469;1;0;BOT;1501;SERIE_A;1509
27/05/2018;loss;AME;1509;1;3;SAO;1529;SERIE_A;1448
31/05/2018;loss;AME;1448;0;1;COR;1458;SERIE_A;1399
03/06/2018;win;AME;1399;3;1;ATH;1405;SERIE_A;1454
07/06/2018;loss;AME;1454;1;3;ATL;1461;SERIE_A;1391
10/06/2018;loss;AME;1391;0;1;GRE;1477;SERIE_A;1353
13/06/2018;draw;AME;1353;0;0;CHA;1467;SERIE_A;1355
19/07/2018;loss;AME;1355;1;3;CRU;1454;SERIE_A;1319
22/07/2018;loss;AME;1319;0;1;PAR;1325;SERIE_A;1270
26/07/2018;win;AME;1270;2;1;INT;1604;SERIE_A;1349
29/07/2018;win;AME;1349;1;0;SAN;1443;SERIE_A;1412
05/08/2018;draw;AME;1412;0;0;PAL;1542;SERIE_A;1416
11/08/2018;loss;AME;1416;0;1;BAH;1479;SERIE_A;1375
19/08/2018;draw;AME;1375;0;0;FLU;1353;SERIE_A;1358
22/08/2018;win;AME;1358;2;0;SPO;1224;SERIE_A;1405
26/08/2018;draw;AME;1405;2;2;FLA;1515;SERIE_A;1406
01/09/2018;loss;AME;1406;0;1;VIT;1327;SERIE_A;1345
06/09/2018;win;AME;1345;2;1;VAS;1349;SERIE_A;1382
09/09/2018;draw;AME;1382;0;0;CEA;1437;SERIE_A;1376
16/09/2018;loss;AME;1376;0;1;BOT;1262;SERIE_A;1310
22/09/2018;draw;AME;1310;1;1;SAO;1551;SERIE_A;1340
29/09/2018;draw;AME;1340;0;0;COR;1350;SERIE_A;1327
06/10/2018;loss;AME;1327;0;4;ATH;1437;SERIE_A;1292
14/10/2018;draw;AME;1292;0;0;ATL;1390;SERIE_A;1306
20/10/2018;draw;AME;1306;1;1;GRE;1502;SERIE_A;1319
27/10/2018;loss;AME;1319;0;1;CHA;1215;SERIE_A;1254
04/11/2018;loss;AME;1254;1;2;CRU;1379;SERIE_A;1208
10/11/2018;loss;AME;1208;0;1;PAR;1082;SERIE_A;1129
15/11/2018;loss;AME;1129;0;2;INT;1497;SERIE_A;1118
18/11/2018;win;AME;1118;2;1;SAN;1392;SERIE_A;1191
21/11/2018;loss;AME;1191;0;4;PAL;1652;SERIE_A;1184
25/11/2018;win;AME;1184;1;0;BAH;1379;SERIE_A;1247
02/12/2018;loss;AME;1247;0;1;FLU;1196;SERIE_A;1190
30/05/2021;loss;AME;1190;0;1;ATH;1310;SERIE_A;1157
06/06/2021;loss;AME;1157;0;1;COR;1120;SERIE_A;1088
13/06/2021;loss;AME;1088;0;2;FLA;1371;SERIE_A;1072
17/06/2021;draw;AME;1072;0;0;CUI;1438;SERIE_A;1104
20/06/2021;loss;AME;1104;1;2;PAL;1307;SERIE_A;1080
24/06/2021;draw;AME;1080;1;1;JUV;1318;SERIE_A;1099
27/06/2021;draw;AME;1099;1;1;INT;1226;SERIE_A;1103
30/06/2021;win;AME;1103;4;3;BAH;1241;SERIE_A;1172
03/07/2021;win;AME;1172;2;0;SAN;1236;SERIE_A;1239
07/07/2021;loss;AME;1239;0;4;FOR;1173;SERIE_A;1180
10/07/2021;loss;AME;1180;0;1;ATL;1324;SERIE_A;1136
19/07/2021;loss;AME;1136;0;1;SPO;1041;SERIE_A;1061
24/07/2021;draw;AME;1061;1;1;GRE;1119;SERIE_A;1069
01/08/2021;draw;AME;1069;1;1;ATG;1222;SERIE_A;1090
08/08/2021;win;AME;1090;1;0;FLU;1192;SERIE_A;1140
16/08/2021;draw;AME;1140;1;1;CHA;847;SERIE_A;1106
23/08/2021;loss;AME;1106;0;2;RED;1224;SERIE_A;1059
29/08/2021;win;AME;1059;2;0;CEA;1230;SERIE_A;1149
11/09/2021;win;AME;1149;2;0;ATH;1036;SERIE_A;1183
19/09/2021;draw;AME;1183;1;1;COR;1248;SERIE_A;1192
22/09/2021;draw;AME;1192;0;0;SAO;1234;SERIE_A;1198
26/09/2021;draw;AME;1198;1;1;FLA;1245;SERIE_A;1190
02/10/2021;win;AME;1190;2;0;CUI;1268;SERIE_A;1282
06/10/2021;win;AME;1282;2;1;AME;1282;SERIE_A;1318
06/10/2021;loss;AME;1282;1;2;AME;1282;SERIE_A;1232
09/10/2021;draw;AME;1232;1;1;JUV;1075;SERIE_A;1211
13/10/2021;loss;AME;1211;1;3;INT;1235;SERIE_A;1164
16/10/2021;draw;AME;1164;0;0;BAH;1112;SERIE_A;1143
23/10/2021;win;AME;1143;2;0;SAN;1078;SERIE_A;1204
30/10/2021;win;AME;1204;2;1;FOR;1217;SERIE_A;1242
