date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
30/09/2020;draw;ATG;1500;0;0;COR;1165;SERIE_A;1463
12/08/2020;win;ATG;1463;3;0;FLA;1490;SERIE_A;1532
16/08/2020;draw;ATG;1532;1;1;SPO;1267;SERIE_A;1493
19/08/2020;loss;ATG;1493;0;3;INT;1329;SERIE_A;1421
22/08/2020;loss;ATG;1421;0;2;GOI;1160;SERIE_A;1339
30/08/2020;loss;ATG;1339;0;2;CEA;1190;SERIE_A;1258
02/09/2020;draw;ATG;1258;1;1;FLU;1384;SERIE_A;1275
06/09/2020;draw;ATG;1275;1;1;GRE;1313;SERIE_A;1266
10/09/2020;win;ATG;1266;2;1;VAS;1368;SERIE_A;1330
13/09/2020;win;ATG;1330;1;0;BAH;1200;SERIE_A;1362
19/09/2020;loss;ATG;1362;3;4;ATL;1337;SERIE_A;1295
27/09/2020;draw;ATG;1295;1;1;BOT;1181;SERIE_A;1268
04/10/2020;draw;ATG;1268;0;0;FOR;1372;SERIE_A;1283
07/10/2020;loss;ATG;1283;0;3;SAO;1355;SERIE_A;1243
11/10/2020;win;ATG;1243;2;1;RED;1204;SERIE_A;1274
14/10/2020;win;ATG;1274;1;0;SAN;1389;SERIE_A;1340
17/10/2020;draw;ATG;1340;1;1;ATH;1131;SERIE_A;1304
25/10/2020;loss;ATG;1304;0;3;PAL;1180;SERIE_A;1226
31/10/2020;loss;ATG;1226;0;1;CTB;1178;SERIE_A;1169
07/11/2020;draw;ATG;1169;1;1;COR;1292;SERIE_A;1172
14/11/2020;draw;ATG;1172;1;1;FLA;1331;SERIE_A;1193
23/11/2020;win;ATG;1193;1;0;SPO;1131;SERIE_A;1234
28/11/2020;draw;ATG;1234;0;0;INT;1223;SERIE_A;1219
07/12/2020;loss;ATG;1219;0;1;GOI;1103;SERIE_A;1141
12/12/2020;win;ATG;1141;2;1;CEA;1371;SERIE_A;1220
16/12/2020;win;ATG;1220;2;1;FLU;1329;SERIE_A;1271
27/12/2020;loss;ATG;1271;1;2;GRE;1310;SERIE_A;1227
07/01/2021;draw;ATG;1227;0;0;VAS;1145;SERIE_A;1203
10/01/2021;draw;ATG;1203;1;1;BAH;1081;SERIE_A;1175
17/01/2021;loss;ATG;1175;1;3;ATL;1325;SERIE_A;1145
20/01/2021;win;ATG;1145;3;1;BOT;949;SERIE_A;1182
24/01/2021;win;ATG;1182;2;0;FOR;1174;SERIE_A;1234
31/01/2021;win;ATG;1234;2;1;SAO;1234;SERIE_A;1270
03/02/2021;loss;ATG;1270;0;2;RED;1376;SERIE_A;1235
06/02/2021;draw;ATG;1235;1;1;SAN;1180;SERIE_A;1214
14/02/2021;loss;ATG;1214;1;2;ATH;1328;SERIE_A;1180
22/02/2021;draw;ATG;1180;1;1;PAL;1210;SERIE_A;1184
25/02/2021;win;ATG;1184;3;1;CTB;1013;SERIE_A;1210
30/05/2021;win;ATG;1210;1;0;COR;1180;SERIE_A;1256
05/06/2021;win;ATG;1256;2;0;SAO;1216;SERIE_A;1302
21/07/2021;loss;ATG;1302;1;2;CUI;1415;SERIE_A;1268
17/06/2021;draw;ATG;1268;0;0;FOR;1168;SERIE_A;1242
20/06/2021;loss;ATG;1242;1;2;ATH;1474;SERIE_A;1221
23/06/2021;win;ATG;1221;1;0;FLU;1378;SERIE_A;1279
28/06/2021;loss;ATG;1279;0;1;RED;1475;SERIE_A;1242
01/07/2021;loss;ATG;1242;1;4;ATL;1167;SERIE_A;1181
04/07/2021;win;ATG;1181;1;0;GRE;1114;SERIE_A;1221
07/07/2021;draw;ATG;1221;1;1;SPO;1055;SERIE_A;1189
11/07/2021;draw;ATG;1189;1;1;JUV;1223;SERIE_A;1194
18/07/2021;loss;ATG;1194;0;3;PAL;1408;SERIE_A;1160
25/07/2021;win;ATG;1160;1;0;SAN;1244;SERIE_A;1222
01/08/2021;draw;ATG;1222;1;1;AME;1069;SERIE_A;1191
08/08/2021;draw;ATG;1191;0;0;CEA;1348;SERIE_A;1212
15/08/2021;win;ATG;1212;2;1;BAH;1065;SERIE_A;1242
21/08/2021;draw;ATG;1242;1;1;CHA;872;SERIE_A;1198
29/08/2021;draw;ATG;1198;0;0;INT;1161;SERIE_A;1179
12/09/2021;draw;ATG;1179;1;1;COR;1259;SERIE_A;1176
