date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;win;ATH;1501;5;1;CHA;1501;SERIE_A;1501
22/04/2018;draw;ATH;1502;0;0;GRE;1552;SERIE_A;1509
29/04/2018;draw;ATH;1510;0;0;BAH;1504;SERIE_A;1509
06/05/2018;loss;ATH;1511;1;3;PAL;1523;SERIE_A;1449
13/05/2018;loss;ATH;1451;1;2;ATL;1538;SERIE_A;1399
20/05/2018;loss;ATH;1402;0;2;FLU;1465;SERIE_A;1361
27/05/2018;draw;ATH;1364;0;0;PAR;1335;SERIE_A;1360
31/05/2018;win;ATH;1364;2;0;SAN;1385;SERIE_A;1422
03/06/2018;loss;ATH;1426;1;3;AME;1420;SERIE_A;1375
06/06/2018;loss;ATH;1380;0;1;SPO;1597;SERIE_A;1358
09/06/2018;loss;ATH;1363;0;1;SAO;1566;SERIE_A;1327
13/06/2018;loss;ATH;1333;0;2;BOT;1451;SERIE_A;1299
19/07/2018;draw;ATH;1305;2;2;INT;1674;SERIE_A;1337
22/07/2018;loss;ATH;1344;1;2;CRU;1540;SERIE_A;1320
29/08/2018;win;ATH;1327;1;0;VAS;1530;SERIE_A;1391
29/07/2018;win;ATH;1399;4;0;VIT;1454;SERIE_A;1399
04/08/2018;draw;ATH;1407;0;0;COR;1622;SERIE_A;1435
11/08/2018;draw;ATH;1444;0;0;CEA;1471;SERIE_A;1448
19/08/2018;win;ATH;1457;3;0;FLA;1669;SERIE_A;1572
13/09/2018;loss;ATH;1582;1;2;CHA;1500;SERIE_A;1520
25/08/2018;win;ATH;1530;2;1;GRE;1709;SERIE_A;1591
02/09/2018;win;ATH;1602;2;0;BAH;1508;SERIE_A;1639
05/09/2018;loss;ATH;1650;0;2;PAL;1759;SERIE_A;1615
10/09/2018;loss;ATH;1627;1;3;ATL;1625;SERIE_A;1577
16/09/2018;win;ATH;1589;3;1;FLU;1554;SERIE_A;1636
23/09/2018;win;ATH;1649;3;0;PAR;1318;SERIE_A;1663
30/09/2018;loss;ATH;1676;0;1;SAN;1636;SERIE_A;1620
06/10/2018;win;ATH;1634;4;0;AME;1524;SERIE_A;1634
14/10/2018;win;ATH;1648;4;0;SPO;1426;SERIE_A;1648
20/10/2018;draw;ATH;1663;0;0;SAO;1631;SERIE_A;1658
27/10/2018;win;ATH;1673;2;1;BOT;1552;SERIE_A;1695
04/11/2018;loss;ATH;1711;1;2;INT;1733;SERIE_A;1664
10/11/2018;win;ATH;1680;2;0;CRU;1685;SERIE_A;1735
14/11/2018;draw;ATH;1752;1;1;VAS;1617;SERIE_A;1733
17/11/2018;win;ATH;1750;2;1;VIT;1549;SERIE_A;1774
21/11/2018;win;ATH;1792;1;0;COR;1619;SERIE_A;1809
25/11/2018;draw;ATH;1827;2;2;CEA;1707;SERIE_A;1799
01/12/2018;win;ATH;1818;2;1;FLA;1966;SERIE_A;1888
28/04/2019;win;ATH;1907;4;1;VAS;1722;SERIE_A;1935
01/05/2019;loss;ATH;1955;1;2;FOR;1498;SERIE_A;1862
05/05/2019;draw;ATH;1882;1;1;CHA;1729;SERIE_A;1861
