date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
14/04/2018;loss;CEA;1501;0;2;SAN;1501;SERIE_A;1451
22/04/2018;draw;CEA;1452;0;0;SAO;1538;SERIE_A;1450
29/04/2018;loss;CEA;1451;0;3;FLA;1570;SERIE_A;1404
06/05/2018;draw;CEA;1406;1;1;COR;1485;SERIE_A;1417
14/05/2018;draw;CEA;1419;2;2;AME;1486;SERIE_A;1414
20/05/2018;loss;CEA;1417;1;2;VIT;1429;SERIE_A;1369
27/05/2018;loss;CEA;1372;0;1;GRE;1449;SERIE_A;1319
30/05/2018;loss;CEA;1323;0;2;CHA;1417;SERIE_A;1286
03/06/2018;loss;CEA;1290;0;1;CRU;1577;SERIE_A;1265
06/06/2018;draw;CEA;1270;0;0;BOT;1489;SERIE_A;1298
10/06/2018;draw;CEA;1303;2;2;PAL;1643;SERIE_A;1333
13/06/2018;loss;CEA;1339;1;2;ATL;1610;SERIE_A;1322
18/07/2018;win;CEA;1328;1;0;SPO;1540;SERIE_A;1394
23/07/2018;loss;CEA;1401;0;1;INT;1642;SERIE_A;1381
29/08/2018;loss;CEA;1388;0;2;BAH;1516;SERIE_A;1342
28/07/2018;win;CEA;1350;1;0;FLU;1524;SERIE_A;1410
05/08/2018;win;CEA;1418;1;0;PAR;1374;SERIE_A;1462
11/08/2018;draw;CEA;1471;0;0;ATH;1444;SERIE_A;1453
20/08/2018;draw;CEA;1462;1;1;VAS;1396;SERIE_A;1453
08/08/2018;draw;CEA;1463;1;1;SAN;1481;SERIE_A;1451
26/08/2018;loss;CEA;1461;0;1;SAO;1755;SERIE_A;1445
02/09/2018;win;CEA;1456;1;0;FLA;1622;SERIE_A;1528
05/09/2018;win;CEA;1539;2;1;COR;1498;SERIE_A;1570
09/09/2018;draw;CEA;1582;0;0;AME;1527;SERIE_A;1574
15/09/2018;win;CEA;1586;2;0;VIT;1559;SERIE_A;1635
23/09/2018;loss;CEA;1648;2;3;GRE;1672;SERIE_A;1601
30/09/2018;win;CEA;1614;3;1;CHA;1484;SERIE_A;1646
24/10/2018;win;CEA;1660;2;0;CRU;1628;SERIE_A;1728
15/10/2018;draw;CEA;1742;0;0;BOT;1563;SERIE_A;1709
21/10/2018;loss;CEA;1724;1;2;PAL;1956;SERIE_A;1703
29/10/2018;win;CEA;1718;2;1;ATL;1550;SERIE_A;1736
05/11/2018;loss;CEA;1752;0;1;SPO;1590;SERIE_A;1680
11/11/2018;draw;CEA;1696;1;1;INT;1782;SERIE_A;1694
14/11/2018;loss;CEA;1711;1;2;BAH;1646;SERIE_A;1652
19/11/2018;draw;CEA;1669;0;0;FLU;1575;SERIE_A;1656
22/11/2018;win;CEA;1674;1;0;PAR;1472;SERIE_A;1689
25/11/2018;draw;CEA;1707;2;2;ATH;1827;SERIE_A;1724
02/12/2018;draw;CEA;1743;0;0;VAS;1696;SERIE_A;1723
28/04/2019;win;CEA;1742;4;0;CSA;1501;SERIE_A;1742
01/05/2019;loss;CEA;1762;0;1;CRU;1710;SERIE_A;1705
04/05/2019;loss;CEA;1725;1;2;ATL;1872;SERIE_A;1682
11/05/2019;loss;CEA;1703;1;2;GOI;1514;SERIE_A;1628
19/05/2019;win;CEA;1649;2;1;GRE;1692;SERIE_A;1691
27/05/2019;win;CEA;1713;2;1;AVA;1510;SERIE_A;1737
02/06/2019;loss;CEA;1759;0;1;SAN;1877;SERIE_A;1712
08/06/2019;draw;CEA;1735;0;0;BAH;1871;SERIE_A;1740
13/06/2019;loss;CEA;1763;0;1;VAS;1772;SERIE_A;1714
15/07/2019;draw;CEA;1738;1;1;FLU;1780;SERIE_A;1744
20/07/2019;win;CEA;1768;2;0;PAL;2266;SERIE_A;1904
27/07/2019;loss;CEA;1929;0;1;INT;1938;SERIE_A;1880
03/08/2019;win;CEA;1905;2;1;FOR;1712;SERIE_A;1921
10/08/2019;win;CEA;1947;4;1;CHA;1797;SERIE_A;1981
18/08/2019;loss;CEA;2007;0;1;SAO;2143;SERIE_A;1976
25/08/2019;loss;CEA;2003;0;3;FLA;2182;SERIE_A;1964
31/08/2019;loss;CEA;1991;0;1;ATH;1987;SERIE_A;1940
07/09/2019;draw;CEA;1968;2;2;COR;2159;SERIE_A;1993
14/09/2019;draw;CEA;2021;0;0;BOT;2003;SERIE_A;2005
22/09/2019;loss;CEA;2034;0;1;CSA;1839;SERIE_A;1959
25/09/2019;draw;CEA;1988;0;0;CRU;1999;SERIE_A;1975
29/09/2019;loss;CEA;2005;1;2;ATL;1876;SERIE_A;1937
06/10/2019;loss;CEA;1967;0;1;GOI;2039;SERIE_A;1913
09/10/2019;loss;CEA;1944;1;2;GRE;2298;SERIE_A;1932
13/10/2019;win;CEA;1963;1;0;AVA;1845;SERIE_A;1985
17/10/2019;loss;CEA;2017;1;2;SAN;2362;SERIE_A;2005
21/10/2019;win;CEA;2037;2;1;BAH;2311;SERIE_A;2120
26/10/2019;draw;CEA;2153;1;1;VAS;2301;SERIE_A;2160
30/10/2019;win;CEA;2193;2;0;FLU;2241;SERIE_A;2257
02/11/2019;loss;CEA;2291;0;1;PAL;2533;SERIE_A;2271
07/11/2019;win;CEA;2305;2;0;INT;2358;SERIE_A;2370
10/11/2019;loss;CEA;2405;0;1;FOR;2128;SERIE_A;2322
17/11/2019;loss;CEA;2357;0;1;CHA;2263;SERIE_A;2294
24/11/2019;draw;CEA;2330;1;1;SAO;2451;SERIE_A;2333
27/11/2019;loss;CEA;2369;1;4;FLA;2869;SERIE_A;2364
30/11/2019;draw;CEA;2401;1;1;ATH;2762;SERIE_A;2433
04/12/2019;loss;CEA;2470;0;1;COR;2407;SERIE_A;2398
08/12/2019;draw;CEA;2436;1;1;BOT;2403;SERIE_A;2431
08/08/2020;loss;CEA;2469;2;3;SPO;1691;SERIE_A;2370
12/08/2020;draw;CEA;2409;1;1;GRE;2806;SERIE_A;2444
16/08/2020;loss;CEA;2483;0;2;ATL;2729;SERIE_A;2463
20/08/2020;loss;CEA;2503;0;3;VAS;2749;SERIE_A;2473
23/08/2020;win;CEA;2513;2;0;BAH;2685;SERIE_A;2603
30/08/2020;win;CEA;2644;2;0;ATG;1733;SERIE_A;2645
02/09/2020;win;CEA;2686;1;0;FOR;2657;SERIE_A;2718
05/09/2020;loss;CEA;2760;0;1;SAN;2849;SERIE_A;2708
10/09/2020;loss;CEA;2750;0;2;INT;2953;SERIE_A;2726
13/09/2020;win;CEA;2769;2;0;FLA;3156;SERIE_A;2895
19/09/2020;loss;CEA;2938;2;4;RED;1745;SERIE_A;2838
27/09/2020;draw;CEA;2882;2;2;GOI;2515;SERIE_A;2838
03/10/2020;loss;CEA;2882;1;2;PAL;3127;SERIE_A;2862
08/10/2020;draw;CEA;2907;0;0;ATH;3015;SERIE_A;2922
11/10/2020;win;CEA;2967;2;1;COR;2855;SERIE_A;2990
25/11/2020;draw;CEA;3036;1;1;SAO;3254;SERIE_A;3052
17/10/2020;draw;CEA;3098;2;2;FLU;3144;SERIE_A;3105
24/10/2020;win;CEA;3152;2;1;CTB;2179;SERIE_A;3152
31/10/2020;draw;CEA;3199;2;2;BOT;3076;SERIE_A;3182
08/11/2020;draw;CEA;3230;0;0;SPO;2692;SERIE_A;3182
14/11/2020;loss;CEA;3230;2;4;GRE;3445;SERIE_A;3208
22/11/2020;draw;CEA;3257;2;2;ATL;3297;SERIE_A;3248
30/11/2020;win;CEA;3297;4;1;VAS;3178;SERIE_A;3356
05/12/2020;win;CEA;3406;2;0;BAH;3261;SERIE_A;3451
12/12/2020;loss;CEA;3501;1;2;ATG;2579;SERIE_A;3401
20/12/2020;win;CEA;3452;2;0;FOR;3095;SERIE_A;3469
27/12/2020;draw;CEA;3520;1;1;SAN;3444;SERIE_A;3509
07/01/2021;loss;CEA;3561;0;2;INT;3619;SERIE_A;3505
10/01/2021;win;CEA;3557;2;0;FLA;3724;SERIE_A;3666
17/01/2021;loss;CEA;3719;1;2;RED;2937;SERIE_A;3620
21/01/2021;win;CEA;3673;4;0;GOI;3227;SERIE_A;3673
24/01/2021;win;CEA;3727;2;1;PAL;3745;SERIE_A;3765
31/01/2021;loss;CEA;3819;0;2;ATH;3738;SERIE_A;3745
03/02/2021;loss;CEA;3800;1;2;COR;3651;SERIE_A;3730
10/02/2021;draw;CEA;3785;1;1;SAO;3779;SERIE_A;3784
15/02/2021;loss;CEA;3840;1;3;FLU;3923;SERIE_A;3788
20/02/2021;win;CEA;3844;2;0;CTB;2950;SERIE_A;3845
25/02/2021;win;CEA;3902;2;1;BOT;3617;SERIE_A;3912
30/05/2021;win;CEA;3969;3;2;GRE;3964;SERIE_A;4004
05/06/2021;loss;CEA;4062;1;3;SAN;3927;SERIE_A;3993
13/06/2021;draw;CEA;4051;0;0;CHA;2566;SERIE_A;4001
17/06/2021;loss;CEA;4060;1;2;BAH;4076;SERIE_A;3998
20/06/2021;draw;CEA;4057;1;1;INT;4191;SERIE_A;4075
24/06/2021;win;CEA;4135;2;1;ATL;4288;SERIE_A;4193
27/06/2021;draw;CEA;4253;1;1;SAO;4096;SERIE_A;4222
01/07/2021;draw;CEA;4283;0;0;RED;4156;SERIE_A;4265
04/07/2021;win;CEA;4326;2;0;JUV;1920;SERIE_A;4326
07/07/2021;draw;CEA;4388;0;0;FLU;4442;SERIE_A;4396
11/07/2021;draw;CEA;4458;2;2;CUI;1773;SERIE_A;4408
17/07/2021;win;CEA;4471;1;0;ATH;4563;SERIE_A;4520
25/07/2021;draw;CEA;4583;0;0;SPO;4033;SERIE_A;4537
01/08/2021;win;CEA;4601;3;1;FOR;4464;SERIE_A;4632
08/08/2021;draw;CEA;4696;0;0;ATG;4050;SERIE_A;4647
15/08/2021;loss;CEA;4712;1;3;COR;4550;SERIE_A;4640
