date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;loss;CHA;1501;1;5;ATH;1501;SERIE_A;1451
22/04/2018;draw;CHA;1452;1;1;VAS;1538;SERIE_A;1450
29/04/2018;draw;CHA;1451;0;0;PAL;1546;SERIE_A;1464
07/05/2018;draw;CHA;1466;1;1;PAR;1345;SERIE_A;1438
13/05/2018;win;CHA;1440;3;2;FLA;1661;SERIE_A;1507
21/05/2018;loss;CHA;1510;0;3;INT;1455;SERIE_A;1452
26/05/2018;loss;CHA;1455;1;3;FLU;1510;SERIE_A;1413
30/05/2018;win;CHA;1417;2;0;CEA;1323;SERIE_A;1454
02/06/2018;draw;CHA;1458;3;3;ATL;1501;SERIE_A;1464
06/06/2018;loss;CHA;1469;0;1;VIT;1366;SERIE_A;1405
09/06/2018;win;CHA;1410;2;0;CRU;1570;SERIE_A;1498
13/06/2018;draw;CHA;1504;0;0;AME;1390;SERIE_A;1488
19/07/2018;draw;CHA;1494;1;1;BAH;1426;SERIE_A;1472
22/07/2018;draw;CHA;1479;0;0;SAN;1478;SERIE_A;1465
26/07/2018;loss;CHA;1472;0;1;BOT;1421;SERIE_A;1415
29/07/2018;draw;CHA;1423;1;1;GRE;1628;SERIE_A;1438
05/08/2018;draw;CHA;1446;1;1;SPO;1356;SERIE_A;1433
12/08/2018;win;CHA;1442;2;1;COR;1595;SERIE_A;1500
19/08/2018;loss;CHA;1509;0;2;SAO;1761;SERIE_A;1490
13/09/2018;win;CHA;1500;2;1;ATH;1582;SERIE_A;1547
26/08/2018;loss;CHA;1557;1;3;VAS;1441;SERIE_A;1491
02/09/2018;loss;CHA;1502;1;2;PAL;1726;SERIE_A;1469
05/09/2018;draw;CHA;1480;1;1;PAR;1304;SERIE_A;1457
08/09/2018;loss;CHA;1469;0;2;FLA;1539;SERIE_A;1429
17/09/2018;win;CHA;1441;2;1;INT;1818;SERIE_A;1524
24/09/2018;loss;CHA;1537;1;2;FLU;1522;SERIE_A;1471
30/09/2018;loss;CHA;1484;1;3;CEA;1614;SERIE_A;1452
06/10/2018;win;CHA;1466;1;0;ATL;1663;SERIE_A;1530
14/10/2018;loss;CHA;1544;0;1;VIT;1446;SERIE_A;1468
21/10/2018;loss;CHA;1483;0;3;CRU;1538;SERIE_A;1441
27/10/2018;win;CHA;1456;1;0;AME;1560;SERIE_A;1507
04/11/2018;loss;CHA;1523;0;1;BAH;1609;SERIE_A;1485
12/11/2018;win;CHA;1501;1;0;SAN;1803;SERIE_A;1586
15/11/2018;loss;CHA;1603;0;1;BOT;1678;SERIE_A;1549
18/11/2018;loss;CHA;1566;0;2;GRE;1755;SERIE_A;1541
22/11/2018;win;CHA;1559;2;1;SPO;1627;SERIE_A;1604
25/11/2018;draw;CHA;1622;0;0;COR;1610;SERIE_A;1620
02/12/2018;win;CHA;1639;1;0;SAO;1700;SERIE_A;1683
27/04/2019;win;CHA;1702;2;0;INT;1747;SERIE_A;1765
01/05/2019;loss;CHA;1785;0;1;COR;1585;SERIE_A;1709
05/05/2019;draw;CHA;1729;1;1;ATH;1882;SERIE_A;1737
12/05/2019;loss;CHA;1758;1;2;FLA;1897;SERIE_A;1727
19/05/2019;loss;CHA;1748;1;3;FOR;1539;SERIE_A;1662
26/05/2019;win;CHA;1684;2;1;CRU;1729;SERIE_A;1740
02/06/2019;loss;CHA;1762;1;2;PAL;2198;SERIE_A;1749
10/06/2019;loss;CHA;1772;1;3;GOI;1582;SERIE_A;1697
13/06/2019;draw;CHA;1720;1;1;FLU;1762;SERIE_A;1712
14/07/2019;loss;CHA;1736;1;2;ATL;1897;SERIE_A;1695
22/07/2019;loss;CHA;1719;0;4;SAO;1901;SERIE_A;1693
28/07/2019;draw;CHA;1718;0;0;BAH;1840;SERIE_A;1721
05/08/2019;draw;CHA;1746;3;3;GRE;1937;SERIE_A;1771
10/08/2019;loss;CHA;1797;1;4;CEA;1947;SERIE_A;1767
18/08/2019;win;CHA;1793;1;0;AVA;1533;SERIE_A;1804
26/08/2019;draw;CHA;1831;0;0;BOT;1957;SERIE_A;1848
31/08/2019;loss;CHA;1875;0;1;SAN;2079;SERIE_A;1840
08/09/2019;loss;CHA;1868;0;2;CSA;1693;SERIE_A;1795
14/09/2019;loss;CHA;1823;1;2;VAS;2013;SERIE_A;1786
22/09/2019;loss;CHA;1815;0;1;INT;2178;SERIE_A;1804
02/10/2019;loss;CHA;1833;0;1;COR;2176;SERIE_A;1813
29/09/2019;draw;CHA;1843;1;1;ATH;2113;SERIE_A;1876
06/10/2019;loss;CHA;1906;0;1;FLA;2482;SERIE_A;1900
09/10/2019;loss;CHA;1931;0;2;FOR;1893;SERIE_A;1876
13/10/2019;draw;CHA;1907;1;1;CRU;2080;SERIE_A;1917
16/10/2019;loss;CHA;1949;0;1;PAL;2351;SERIE_A;1940
20/10/2019;draw;CHA;1972;2;2;GOI;2110;SERIE_A;1977
26/10/2019;draw;CHA;2010;1;1;FLU;2245;SERIE_A;2039
30/10/2019;win;CHA;2072;2;0;ATL;2230;SERIE_A;2179
02/11/2019;loss;CHA;2213;0;3;SAO;2378;SERIE_A;2172
06/11/2019;draw;CHA;2206;1;1;BAH;2279;SERIE_A;2216
10/11/2019;loss;CHA;2251;0;1;GRE;2564;SERIE_A;2228
17/11/2019;win;CHA;2263;1;0;CEA;2357;SERIE_A;2312
24/11/2019;win;CHA;2348;1;0;AVA;1906;SERIE_A;2355
27/11/2019;loss;CHA;2391;0;1;BOT;2339;SERIE_A;2320
01/12/2019;loss;CHA;2357;0;2;SAN;2585;SERIE_A;2336
04/12/2019;win;CHA;2373;3;0;CSA;2152;SERIE_A;2397
08/12/2019;draw;CHA;2435;1;1;VAS;2546;SERIE_A;2450
30/05/2021;loss;CHA;2488;0;3;RED;3670;SERIE_A;2488
06/06/2021;loss;CHA;2527;1;3;PAL;3917;SERIE_A;2527
13/06/2021;draw;CHA;2566;0;0;CEA;4051;SERIE_A;2616
16/06/2021;draw;CHA;2656;1;1;SAO;4062;SERIE_A;2706
21/06/2021;draw;CHA;2746;1;1;ATL;4278;SERIE_A;2796
24/06/2021;loss;CHA;2837;1;2;INT;4222;SERIE_A;2837
27/06/2021;draw;CHA;2878;2;2;ATH;4335;SERIE_A;2928
30/06/2021;loss;CHA;2970;2;3;FOR;4033;SERIE_A;2970
04/07/2021;loss;CHA;3012;0;2;BAH;4272;SERIE_A;3012
08/07/2021;loss;CHA;3055;0;1;COR;4331;SERIE_A;3055
11/07/2021;loss;CHA;3098;1;2;FLA;4336;SERIE_A;3098
18/07/2021;loss;CHA;3142;2;3;CUI;1829;SERIE_A;3042
26/07/2021;loss;CHA;3086;0;1;JUV;1992;SERIE_A;2986
01/08/2021;loss;CHA;3031;0;1;SAN;4496;SERIE_A;3031
09/08/2021;loss;CHA;3076;1;2;GRE;4370;SERIE_A;3076
16/08/2021;draw;CHA;3122;1;1;AME;2388;SERIE_A;3073
21/08/2021;draw;CHA;3119;1;1;ATG;4238;SERIE_A;3169
