date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
08/08/2020;loss;CTB;1500;0;1;INT;1257;SERIE_A;1412
12/08/2020;loss;CTB;1412;0;1;BAH;1211;SERIE_A;1336
15/08/2020;loss;CTB;1336;0;1;FLA;1436;SERIE_A;1286
19/08/2020;loss;CTB;1286;1;3;COR;1190;SERIE_A;1223
23/08/2020;win;CTB;1223;2;1;RED;1395;SERIE_A;1296
30/08/2020;win;CTB;1296;1;0;SPO;1201;SERIE_A;1321
02/09/2020;draw;CTB;1321;0;0;BOT;1189;SERIE_A;1303
06/09/2020;loss;CTB;1303;0;1;ATL;1309;SERIE_A;1240
09/09/2020;draw;CTB;1240;3;3;GOI;1128;SERIE_A;1224
12/09/2020;loss;CTB;1224;0;1;ATH;1263;SERIE_A;1180
20/09/2020;win;CTB;1180;1;0;VAS;1331;SERIE_A;1237
28/09/2020;loss;CTB;1237;0;4;FLU;1239;SERIE_A;1187
04/10/2020;draw;CTB;1187;1;1;SAO;1380;SERIE_A;1200
07/10/2020;loss;CTB;1200;1;2;GRE;1291;SERIE_A;1163
10/10/2020;draw;CTB;1163;0;0;FOR;1399;SERIE_A;1182
14/10/2020;win;CTB;1182;3;1;PAL;1289;SERIE_A;1279
17/10/2020;loss;CTB;1279;1;2;SAN;1311;SERIE_A;1219
24/10/2020;loss;CTB;1219;1;2;CEA;1285;SERIE_A;1178
31/10/2020;win;CTB;1178;1;0;ATG;1226;SERIE_A;1221
08/11/2020;draw;CTB;1221;2;2;INT;1365;SERIE_A;1241
16/11/2020;loss;CTB;1241;1;2;BAH;1267;SERIE_A;1181
21/11/2020;loss;CTB;1181;1;3;FLA;1299;SERIE_A;1147
25/11/2020;loss;CTB;1147;0;1;COR;1228;SERIE_A;1094
05/12/2020;draw;CTB;1094;0;0;RED;1293;SERIE_A;1108
13/12/2020;loss;CTB;1108;0;1;SPO;1050;SERIE_A;1050
19/12/2020;loss;CTB;1050;1;2;BOT;991;SERIE_A;979
26/12/2020;loss;CTB;979;0;2;ATL;1275;SERIE_A;964
06/01/2021;loss;CTB;964;1;2;GOI;1183;SERIE_A;930
09/01/2021;draw;CTB;930;0;0;ATH;1288;SERIE_A;962
16/01/2021;win;CTB;962;1;0;VAS;1188;SERIE_A;1041
20/01/2021;draw;CTB;1041;3;3;FLU;1276;SERIE_A;1060
23/01/2021;draw;CTB;1060;1;1;SAO;1270;SERIE_A;1087
31/01/2021;draw;CTB;1087;1;1;GRE;1284;SERIE_A;1101
04/02/2021;loss;CTB;1101;1;3;FOR;1094;SERIE_A;1050
17/02/2021;win;CTB;1050;1;0;PAL;1199;SERIE_A;1107
13/02/2021;loss;CTB;1107;0;2;SAN;1188;SERIE_A;1068
20/02/2021;loss;CTB;1068;0;2;CEA;1134;SERIE_A;1013
25/02/2021;loss;CTB;1013;1;3;ATG;1184;SERIE_A;986
