date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
14/04/2018;draw;FLA;1501;2;2;VIT;1501;SERIE_A;1501
21/04/2018;win;FLA;1502;2;0;AME;1565;SERIE_A;1569
29/04/2018;win;FLA;1570;3;0;CEA;1451;SERIE_A;1629
06/05/2018;win;FLA;1631;2;0;INT;1474;SERIE_A;1659
13/05/2018;loss;FLA;1661;2;3;CHA;1440;SERIE_A;1583
19/05/2018;draw;FLA;1586;1;1;VAS;1507;SERIE_A;1562
26/05/2018;win;FLA;1565;1;0;ATL;1613;SERIE_A;1622
31/05/2018;win;FLA;1626;2;0;BAH;1504;SERIE_A;1659
03/06/2018;win;FLA;1663;1;0;COR;1514;SERIE_A;1682
07/06/2018;win;FLA;1687;2;0;FLU;1477;SERIE_A;1721
10/06/2018;win;FLA;1726;2;0;PAR;1424;SERIE_A;1739
13/06/2018;draw;FLA;1745;1;1;PAL;1611;SERIE_A;1727
18/07/2018;loss;FLA;1733;0;1;SAO;1634;SERIE_A;1657
21/07/2018;win;FLA;1664;2;0;BOT;1435;SERIE_A;1684
25/07/2018;draw;FLA;1691;1;1;SAN;1485;SERIE_A;1664
29/07/2018;win;FLA;1672;4;1;SPO;1362;SERIE_A;1687
04/08/2018;loss;FLA;1695;0;2;GRE;1610;SERIE_A;1633
12/08/2018;win;FLA;1642;1;0;CRU;1473;SERIE_A;1660
19/08/2018;loss;FLA;1669;0;3;ATH;1457;SERIE_A;1592
23/08/2018;win;FLA;1602;1;0;VIT;1380;SERIE_A;1616
26/08/2018;draw;FLA;1626;2;2;AME;1516;SERIE_A;1611
02/09/2018;loss;FLA;1622;0;1;CEA;1456;SERIE_A;1540
05/09/2018;loss;FLA;1551;1;2;INT;1756;SERIE_A;1527
08/09/2018;win;FLA;1539;2;0;CHA;1469;SERIE_A;1580
15/09/2018;draw;FLA;1592;1;1;VAS;1416;SERIE_A;1569
23/09/2018;win;FLA;1582;2;1;ATL;1686;SERIE_A;1633
29/09/2018;draw;FLA;1646;0;0;BAH;1495;SERIE_A;1626
05/10/2018;win;FLA;1640;3;0;COR;1546;SERIE_A;1704
13/10/2018;win;FLA;1718;3;0;FLU;1569;SERIE_A;1752
21/10/2018;win;FLA;1767;4;0;PAR;1329;SERIE_A;1767
27/10/2018;draw;FLA;1782;1;1;PAL;1984;SERIE_A;1796
04/11/2018;draw;FLA;1812;2;2;SAO;1686;SERIE_A;1795
10/11/2018;loss;FLA;1811;1;2;BOT;1595;SERIE_A;1733
15/11/2018;win;FLA;1750;1;0;SAN;1729;SERIE_A;1783
18/11/2018;win;FLA;1800;1;0;SPO;1652;SERIE_A;1830
21/11/2018;win;FLA;1848;2;0;GRE;1797;SERIE_A;1892
25/11/2018;win;FLA;1910;2;0;CRU;1719;SERIE_A;1947
