date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
15/04/2018;loss;FLU;1501;1;2;COR;1501;SERIE_A;1451
22/04/2018;win;FLU;1452;1;0;CRU;1438;SERIE_A;1486
29/04/2018;draw;FLU;1487;1;1;SAO;1527;SERIE_A;1478
06/05/2018;win;FLU;1480;2;1;VIT;1396;SERIE_A;1518
14/05/2018;loss;FLU;1520;1;2;BOT;1464;SERIE_A;1462
20/05/2018;win;FLU;1465;2;0;ATH;1402;SERIE_A;1507
26/05/2018;win;FLU;1510;3;1;CHA;1455;SERIE_A;1554
30/05/2018;draw;FLU;1558;0;0;GRE;1492;SERIE_A;1549
04/06/2018;loss;FLU;1553;1;2;PAR;1301;SERIE_A;1472
07/06/2018;loss;FLU;1477;0;2;FLA;1687;SERIE_A;1442
10/06/2018;loss;FLU;1447;2;5;ATL;1565;SERIE_A;1413
13/06/2018;loss;FLU;1419;0;1;SAN;1404;SERIE_A;1353
19/07/2018;draw;FLU;1359;1;1;VAS;1486;SERIE_A;1377
22/07/2018;win;FLU;1384;2;1;SPO;1470;SERIE_A;1446
25/07/2018;win;FLU;1453;1;0;PAL;1646;SERIE_A;1516
28/07/2018;loss;FLU;1524;0;1;CEA;1350;SERIE_A;1451
05/08/2018;draw;FLU;1459;1;1;BAH;1567;SERIE_A;1460
13/08/2018;loss;FLU;1469;0;3;INT;1682;SERIE_A;1435
19/08/2018;draw;FLU;1444;0;0;AME;1466;SERIE_A;1447
22/08/2018;win;FLU;1457;1;0;COR;1503;SERIE_A;1499
25/08/2018;loss;FLU;1509;1;2;CRU;1513;SERIE_A;1460
02/09/2018;draw;FLU;1471;1;1;SAO;1775;SERIE_A;1506
06/09/2018;draw;FLU;1517;0;0;VIT;1507;SERIE_A;1502
09/09/2018;win;FLU;1514;1;0;BOT;1447;SERIE_A;1542
16/09/2018;loss;FLU;1554;1;3;ATH;1589;SERIE_A;1509
24/09/2018;win;FLU;1522;2;1;CHA;1537;SERIE_A;1574
29/09/2018;loss;FLU;1587;0;1;GRE;1718;SERIE_A;1541
08/10/2018;win;FLU;1555;4;0;PAR;1344;SERIE_A;1555
13/10/2018;loss;FLU;1569;0;3;FLA;1718;SERIE_A;1539
21/10/2018;win;FLU;1554;1;0;ATL;1590;SERIE_A;1595
27/10/2018;loss;FLU;1610;0;3;SAN;1768;SERIE_A;1581
03/11/2018;loss;FLU;1597;0;1;VAS;1572;SERIE_A;1530
11/11/2018;draw;FLU;1546;0;0;SPO;1665;SERIE_A;1549
14/11/2018;loss;FLU;1566;0;3;PAL;1980;SERIE_A;1558
19/11/2018;draw;FLU;1575;0;0;CEA;1669;SERIE_A;1574
22/11/2018;loss;FLU;1592;0;2;BAH;1663;SERIE_A;1552
25/11/2018;loss;FLU;1570;0;2;INT;1713;SERIE_A;1539
02/12/2018;win;FLU;1558;1;0;AME;1609;SERIE_A;1601
28/04/2019;loss;FLU;1620;0;1;GOI;1501;SERIE_A;1542
02/05/2019;loss;FLU;1562;1;2;SAN;1770;SERIE_A;1539
05/05/2019;win;FLU;1559;5;4;GRE;1730;SERIE_A;1632
11/05/2019;loss;FLU;1653;0;1;BOT;1821;SERIE_A;1613
18/05/2019;win;FLU;1634;4;1;CRU;1776;SERIE_A;1732
26/05/2019;loss;FLU;1754;2;3;BAH;1763;SERIE_A;1705
02/06/2019;loss;FLU;1727;0;3;ATH;1836;SERIE_A;1692
09/06/2019;draw;FLU;1715;0;0;FLA;1993;SERIE_A;1739
13/06/2019;draw;FLU;1762;1;1;CHA;1720;SERIE_A;1756
15/07/2019;draw;FLU;1780;1;1;CEA;1738;SERIE_A;1761
20/07/2019;loss;FLU;1785;1;2;VAS;1811;SERIE_A;1739
27/07/2019;loss;FLU;1764;1;2;SAO;1926;SERIE_A;1723
03/08/2019;win;FLU;1748;2;1;INT;1998;SERIE_A;1818
10/08/2019;loss;FLU;1844;1;2;ATL;1986;SERIE_A;1813
18/08/2019;loss;FLU;1839;0;1;CSA;1575;SERIE_A;1750
10/09/2019;loss;FLU;1777;0;3;PAL;2172;SERIE_A;1768
02/09/2019;loss;FLU;1795;0;1;AVA;1576;SERIE_A;1709
07/09/2019;win;FLU;1737;1;0;FOR;1855;SERIE_A;1803
15/09/2019;win;FLU;1831;1;0;COR;2153;SERIE_A;1909
22/09/2019;loss;FLU;1938;0;3;GOI;1781;SERIE_A;1867
26/09/2019;draw;FLU;1896;1;1;SAN;2118;SERIE_A;1913
29/09/2019;win;FLU;1943;2;1;GRE;2343;SERIE_A;2028
06/10/2019;win;FLU;2058;1;0;BOT;1965;SERIE_A;2095
09/10/2019;draw;FLU;2126;0;0;CRU;2053;SERIE_A;2116
12/10/2019;win;FLU;2147;2;0;BAH;2234;SERIE_A;2219
