date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
28/04/2019;loss;FOR;1501;0;4;PAL;2053;SERIE_A;1497
01/05/2019;win;FOR;1498;2;1;ATH;1955;SERIE_A;1587
05/05/2019;loss;FOR;1588;0;1;BOT;1785;SERIE_A;1564
12/05/2019;loss;FOR;1566;0;1;SAO;1822;SERIE_A;1537
19/05/2019;win;FOR;1539;3;1;CHA;1748;SERIE_A;1654
26/05/2019;draw;FOR;1657;1;1;VAS;1664;SERIE_A;1644
01/06/2019;loss;FOR;1647;0;2;FLA;1957;SERIE_A;1633
08/06/2019;loss;FOR;1637;0;1;GRE;1739;SERIE_A;1601
12/06/2019;win;FOR;1605;2;1;CRU;1761;SERIE_A;1663
13/07/2019;win;FOR;1668;2;0;AVA;1512;SERIE_A;1696
21/07/2019;draw;FOR;1701;2;2;ATL;1949;SERIE_A;1732
28/07/2019;loss;FOR;1738;1;3;COR;1969;SERIE_A;1706
03/08/2019;loss;FOR;1712;1;2;CEA;1905;SERIE_A;1687
12/08/2019;win;FOR;1694;2;0;CSA;1622;SERIE_A;1754
17/08/2019;loss;FOR;1761;0;1;INT;1971;SERIE_A;1726
25/08/2019;draw;FOR;1734;3;3;SAN;2095;SERIE_A;1773
01/09/2019;win;FOR;1781;2;0;GOI;1833;SERIE_A;1846
07/09/2019;loss;FOR;1855;0;1;FLU;1737;SERIE_A;1777
15/09/2019;draw;FOR;1786;1;1;BAH;2218;SERIE_A;1828
22/09/2019;loss;FOR;1838;0;1;PAL;2271;SERIE_A;1825
26/09/2019;loss;FOR;1835;1;4;ATH;2060;SERIE_A;1814
30/09/2019;win;FOR;1825;1;0;BOT;2009;SERIE_A;1887
05/10/2019;loss;FOR;1898;1;2;SAO;2173;SERIE_A;1881
09/10/2019;win;FOR;1893;2;0;CHA;1931;SERIE_A;1955
13/10/2019;loss;FOR;1967;0;1;VAS;2095;SERIE_A;1935
16/10/2019;loss;FOR;1948;1;2;FLA;2608;SERIE_A;1944
19/10/2019;win;FOR;1957;2;1;GRE;2345;SERIE_A;2041
26/10/2019;draw;FOR;2055;1;1;CRU;2286;SERIE_A;2084
30/10/2019;win;FOR;2098;3;1;AVA;1838;SERIE_A;2125
02/11/2019;draw;FOR;2140;2;2;ATL;2182;SERIE_A;2132
06/11/2019;loss;FOR;2147;2;3;COR;2258;SERIE_A;2112
10/11/2019;win;FOR;2128;1;0;CEA;2405;SERIE_A;2201
17/11/2019;win;FOR;2217;3;0;CSA;2080;SERIE_A;2253
24/11/2019;draw;FOR;2270;2;2;INT;2447;SERIE_A;2293
28/11/2019;win;FOR;2310;2;1;SAN;2635;SERIE_A;2389
01/12/2019;win;FOR;2407;2;1;GOI;2370;SERIE_A;2452
04/12/2019;draw;FOR;2470;0;0;FLU;2527;SERIE_A;2478
08/12/2019;win;FOR;2497;2;1;BAH;2470;SERIE_A;2529
08/08/2020;loss;FOR;2548;0;2;ATH;2809;SERIE_A;2520
13/08/2020;loss;FOR;2540;0;1;SAO;2737;SERIE_A;2516
16/08/2020;draw;FOR;2536;0;0;BOT;2400;SERIE_A;2506
19/08/2020;win;FOR;2527;3;1;GOI;2492;SERIE_A;2594
26/08/2020;draw;FOR;2615;1;1;COR;2603;SERIE_A;2613
29/08/2020;win;FOR;2635;3;0;RED;1624;SERIE_A;2635
02/09/2020;loss;FOR;2657;0;1;CEA;2686;SERIE_A;2611
05/09/2020;loss;FOR;2634;1;2;FLA;3045;SERIE_A;2625
09/09/2020;win;FOR;2648;1;0;SPO;2052;SERIE_A;2650
13/09/2020;draw;FOR;2674;1;1;GRE;2972;SERIE_A;2709
19/09/2020;win;FOR;2733;1;0;INT;2963;SERIE_A;2801
27/09/2020;draw;FOR;2826;1;1;SAN;3050;SERIE_A;2854
04/10/2020;draw;FOR;2879;0;0;ATG;2111;SERIE_A;2830
07/10/2020;win;FOR;2856;2;1;ATL;3165;SERIE_A;2933
10/10/2020;draw;FOR;2959;0;0;CTB;1956;SERIE_A;2909
19/11/2020;draw;FOR;2936;0;0;VAS;2928;SERIE_A;2935
18/10/2020;win;FOR;2962;2;0;PAL;3069;SERIE_A;3039
11/11/2020;loss;FOR;3067;1;2;BAH;3058;SERIE_A;3016
31/10/2020;loss;FOR;3044;0;1;FLU;3275;SERIE_A;3012
07/11/2020;loss;FOR;3041;1;2;ATH;2968;SERIE_A;2981
14/11/2020;loss;FOR;3010;2;3;SAO;3546;SERIE_A;3002
22/11/2020;win;FOR;3032;2;1;BOT;3078;SERIE_A;3089
26/11/2020;draw;FOR;3119;1;1;GOI;2889;SERIE_A;3082
02/12/2020;draw;FOR;3113;0;0;COR;3327;SERIE_A;3129
12/12/2020;loss;FOR;3160;1;2;RED;2582;SERIE_A;3063
20/12/2020;loss;FOR;3095;0;2;CEA;3452;SERIE_A;3076
26/12/2020;draw;FOR;3108;0;0;FLA;3757;SERIE_A;3154
06/01/2021;loss;FOR;3187;0;1;SPO;2891;SERIE_A;3102
09/01/2021;draw;FOR;3135;0;0;GRE;3674;SERIE_A;3178
17/01/2021;loss;FOR;3212;2;4;INT;3789;SERIE_A;3209
21/01/2021;win;FOR;3243;2;0;SAN;3703;SERIE_A;3376
24/01/2021;loss;FOR;3411;0;2;ATG;3096;SERIE_A;3325
31/01/2021;loss;FOR;3360;0;2;ATL;3746;SERIE_A;3350
04/02/2021;win;FOR;3386;3;1;CTB;2802;SERIE_A;3389
10/02/2021;win;FOR;3425;3;0;VAS;3629;SERIE_A;3538
14/02/2021;loss;FOR;3575;0;3;PAL;3764;SERIE_A;3550
20/02/2021;loss;FOR;3587;0;4;BAH;3755;SERIE_A;3547
25/02/2021;loss;FOR;3585;0;2;FLU;4069;SERIE_A;3579
30/05/2021;win;FOR;3617;2;1;ATL;4037;SERIE_A;3709
06/06/2021;win;FOR;3748;5;1;INT;4126;SERIE_A;3749
13/06/2021;win;FOR;3788;1;0;SPO;3702;SERIE_A;3814
17/06/2021;draw;FOR;3854;0;0;ATG;3663;SERIE_A;3829
20/06/2021;draw;FOR;3869;1;1;FLU;4324;SERIE_A;3908
23/06/2021;loss;FOR;3949;1;2;FLA;4220;SERIE_A;3932
27/06/2021;draw;FOR;3973;0;0;GRE;4104;SERIE_A;3991
30/06/2021;win;FOR;4033;3;2;CHA;2970;SERIE_A;4033
03/07/2021;loss;FOR;4075;1;2;ATH;4491;SERIE_A;4067
07/07/2021;win;FOR;4110;4;0;AME;2035;SERIE_A;4110
11/07/2021;win;FOR;4153;1;0;COR;4393;SERIE_A;4222
17/07/2021;win;FOR;4266;1;0;SAO;4497;SERIE_A;4345
25/07/2021;win;FOR;4389;1;0;RED;4338;SERIE_A;4419
01/08/2021;loss;FOR;4464;1;3;CEA;4601;SERIE_A;4433
07/08/2021;win;FOR;4478;3;2;PAL;4786;SERIE_A;4563
15/08/2021;draw;FOR;4609;1;1;SAN;4600;SERIE_A;4594
