date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
14/04/2018;win;GRE;1501;1;0;CRU;1501;SERIE_A;1551
22/04/2018;draw;GRE;1552;0;0;ATH;1502;SERIE_A;1532
28/04/2018;loss;GRE;1533;1;2;BOT;1484;SERIE_A;1476
06/05/2018;win;GRE;1478;5;1;SAN;1485;SERIE_A;1478
12/05/2018;draw;GRE;1480;0;0;INT;1447;SERIE_A;1462
20/05/2018;draw;GRE;1465;0;0;PAR;1327;SERIE_A;1446
27/05/2018;win;GRE;1449;1;0;CEA;1372;SERIE_A;1488
30/05/2018;draw;GRE;1492;0;0;FLU;1558;SERIE_A;1487
03/06/2018;win;GRE;1491;2;0;BAH;1475;SERIE_A;1563
06/06/2018;loss;GRE;1568;0;2;PAL;1562;SERIE_A;1503
10/06/2018;win;GRE;1508;1;0;AME;1422;SERIE_A;1534
13/06/2018;draw;GRE;1540;0;0;SPO;1549;SERIE_A;1541
18/07/2018;win;GRE;1547;2;0;ATL;1627;SERIE_A;1618
22/07/2018;loss;GRE;1625;0;1;VAS;1464;SERIE_A;1553
26/07/2018;win;GRE;1560;2;1;SAO;1732;SERIE_A;1620
29/07/2018;draw;GRE;1628;1;1;CHA;1423;SERIE_A;1602
04/08/2018;win;GRE;1610;2;0;FLA;1695;SERIE_A;1682
12/08/2018;win;GRE;1691;4;0;VIT;1409;SERIE_A;1691
18/08/2018;win;GRE;1700;1;0;COR;1533;SERIE_A;1728
22/08/2018;draw;GRE;1738;1;1;CRU;1471;SERIE_A;1699
25/08/2018;loss;GRE;1709;1;2;ATH;1530;SERIE_A;1635
01/09/2018;win;GRE;1646;4;0;BOT;1439;SERIE_A;1646
06/09/2018;draw;GRE;1657;0;0;SAN;1656;SERIE_A;1657
09/09/2018;loss;GRE;1669;0;1;INT;1783;SERIE_A;1635
15/09/2018;win;GRE;1647;2;0;PAR;1318;SERIE_A;1659
23/09/2018;win;GRE;1672;3;2;CEA;1648;SERIE_A;1705
29/09/2018;win;GRE;1718;1;0;FLU;1587;SERIE_A;1750
06/10/2018;draw;GRE;1764;2;2;BAH;1516;SERIE_A;1726
14/10/2018;loss;GRE;1740;0;2;PAL;1915;SERIE_A;1713
20/10/2018;draw;GRE;1728;1;1;AME;1532;SERIE_A;1702
27/10/2018;loss;GRE;1717;3;4;SPO;1496;SERIE_A;1631
03/11/2018;win;GRE;1647;1;0;ATL;1538;SERIE_A;1682
11/11/2018;win;GRE;1698;2;1;VAS;1642;SERIE_A;1727
15/11/2018;draw;GRE;1744;1;1;SAO;1702;SERIE_A;1738
18/11/2018;win;GRE;1755;2;0;CHA;1566;SERIE_A;1779
21/11/2018;loss;GRE;1797;0;2;FLA;1848;SERIE_A;1754
25/11/2018;draw;GRE;1772;0;0;VIT;1517;SERIE_A;1741
02/12/2018;win;GRE;1760;1;0;COR;1617;SERIE_A;1780
28/04/2019;loss;GRE;1799;1;2;SAN;1684;SERIE_A;1721
01/05/2019;draw;GRE;1741;1;1;AVA;1486;SERIE_A;1710
05/05/2019;loss;GRE;1730;4;5;FLU;1559;SERIE_A;1647
11/05/2019;draw;GRE;1668;0;0;COR;1692;SERIE_A;1671
19/05/2019;loss;GRE;1692;1;2;CEA;1649;SERIE_A;1636
25/05/2019;win;GRE;1658;1;0;ATL;1965;SERIE_A;1735
01/06/2019;loss;GRE;1757;0;1;BAH;1820;SERIE_A;1716
08/06/2019;win;GRE;1739;1;0;FOR;1637;SERIE_A;1763
12/06/2019;win;GRE;1786;1;0;BOT;1895;SERIE_A;1851
13/07/2019;win;GRE;1875;2;1;VAS;1831;SERIE_A;1905
20/07/2019;draw;GRE;1929;1;1;INT;1927;SERIE_A;1929
29/07/2019;draw;GRE;1954;0;0;CSA;1534;SERIE_A;1912
05/08/2019;draw;GRE;1937;3;3;CHA;1746;SERIE_A;1903
10/08/2019;loss;GRE;1929;1;3;FLA;2039;SERIE_A;1894
17/08/2019;draw;GRE;1920;1;1;PAL;2176;SERIE_A;1941
24/08/2019;win;GRE;1968;2;1;ATH;2017;SERIE_A;2011
31/08/2019;draw;GRE;2038;0;0;SAO;2137;SERIE_A;2052
08/09/2019;win;GRE;2080;4;1;CRU;1996;SERIE_A;2147
15/09/2019;win;GRE;2175;3;0;GOI;1780;SERIE_A;2185
21/09/2019;win;GRE;2214;3;0;SAN;2143;SERIE_A;2284
