date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
29/05/2021;draw;JUV;1500;2;2;CUI;1500;SERIE_A;1500
06/06/2021;loss;JUV;1500;0;3;ATH;1332;SERIE_A;1418
12/06/2021;draw;JUV;1418;0;0;SAN;1198;SERIE_A;1390
16/06/2021;loss;JUV;1390;0;3;PAL;1171;SERIE_A;1304
20/06/2021;win;JUV;1304;1;0;SPO;1095;SERIE_A;1318
24/06/2021;draw;JUV;1318;1;1;AME;1080;SERIE_A;1288
27/06/2021;win;JUV;1288;1;0;FLA;1345;SERIE_A;1332
30/06/2021;win;JUV;1332;2;0;GRE;1139;SERIE_A;1355
04/07/2021;loss;JUV;1355;0;2;CEA;1193;SERIE_A;1283
07/07/2021;loss;JUV;1283;0;1;BAH;1216;SERIE_A;1223
11/07/2021;draw;JUV;1223;1;1;ATG;1189;SERIE_A;1205
18/07/2021;loss;JUV;1205;0;1;INT;1084;SERIE_A;1138
26/07/2021;win;JUV;1138;1;0;CHA;919;SERIE_A;1152
08/08/2021;loss;JUV;1152;1;2;ATL;1436;SERIE_A;1126
14/08/2021;win;JUV;1126;2;1;RED;1308;SERIE_A;1200
21/08/2021;draw;JUV;1200;1;1;FOR;1302;SERIE_A;1200
29/08/2021;draw;JUV;1200;1;1;SAO;1277;SERIE_A;1197
02/09/2021;draw;JUV;1197;1;1;FLU;1140;SERIE_A;1189
07/09/2021;draw;JUV;1189;1;1;COR;1285;SERIE_A;1202
