date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
16/04/2018;draw;PAL;1501;1;1;BOT;1501;SERIE_A;1501
22/04/2018;win;PAL;1502;1;0;INT;1556;SERIE_A;1545
29/04/2018;draw;PAL;1546;0;0;CHA;1451;SERIE_A;1521
06/05/2018;win;PAL;1523;3;1;ATH;1511;SERIE_A;1595
13/05/2018;loss;PAL;1597;0;1;COR;1463;SERIE_A;1529
19/05/2018;win;PAL;1532;3;0;BAH;1443;SERIE_A;1576
26/05/2018;loss;PAL;1579;2;3;SPO;1481;SERIE_A;1503
30/05/2018;loss;PAL;1507;0;1;CRU;1542;SERIE_A;1462
02/06/2018;win;PAL;1466;3;1;SAO;1639;SERIE_A;1557
06/06/2018;win;PAL;1562;2;0;GRE;1568;SERIE_A;1638
10/06/2018;draw;PAL;1643;2;2;CEA;1303;SERIE_A;1605
13/06/2018;draw;PAL;1611;1;1;FLA;1745;SERIE_A;1616
19/07/2018;draw;PAL;1622;1;1;SAN;1462;SERIE_A;1600
22/07/2018;win;PAL;1607;3;2;ATL;1573;SERIE_A;1639
25/07/2018;loss;PAL;1646;0;1;FLU;1453;SERIE_A;1571
29/07/2018;win;PAL;1579;3;0;PAR;1391;SERIE_A;1607
05/08/2018;draw;PAL;1615;0;0;AME;1485;SERIE_A;1597
12/08/2018;win;PAL;1606;1;0;VAS;1412;SERIE_A;1622
19/08/2018;win;PAL;1631;3;0;VIT;1402;SERIE_A;1668
22/08/2018;win;PAL;1678;2;0;BOT;1399;SERIE_A;1693
26/08/2018;draw;PAL;1703;0;0;INT;1785;SERIE_A;1715
02/09/2018;win;PAL;1726;2;1;CHA;1502;SERIE_A;1748
05/09/2018;win;PAL;1759;2;0;ATH;1650;SERIE_A;1794
09/09/2018;win;PAL;1806;1;0;COR;1466;SERIE_A;1813
16/09/2018;draw;PAL;1825;1;1;BAH;1506;SERIE_A;1789
23/09/2018;win;PAL;1802;1;0;SPO;1323;SERIE_A;1808
30/09/2018;win;PAL;1821;3;1;CRU;1640;SERIE_A;1846
06/10/2018;win;PAL;1860;2;0;SAO;1691;SERIE_A;1901
14/10/2018;win;PAL;1915;2;0;GRE;1740;SERIE_A;1941
21/10/2018;win;PAL;1956;2;1;CEA;1724;SERIE_A;1969
27/10/2018;draw;PAL;1984;1;1;FLA;1782;SERIE_A;1958
03/11/2018;win;PAL;1974;3;2;SAN;1816;SERIE_A;1992
11/11/2018;draw;PAL;2008;1;1;ATL;1505;SERIE_A;1963
14/11/2018;win;PAL;1980;3;0;FLU;1566;SERIE_A;1989
18/11/2018;draw;PAL;2006;1;1;PAR;1409;SERIE_A;1959
21/11/2018;win;PAL;1977;4;0;AME;1516;SERIE_A;1977
25/11/2018;win;PAL;1995;1;0;VAS;1702;SERIE_A;2011
02/12/2018;win;PAL;2030;3;2;VIT;1557;SERIE_A;2034
28/04/2019;win;PAL;2053;4;0;FOR;1501;SERIE_A;2053
01/05/2019;draw;PAL;2073;1;1;CSA;1482;SERIE_A;2026
04/05/2019;win;PAL;2046;1;0;INT;1800;SERIE_A;2058
12/05/2019;win;PAL;2079;2;0;ATL;1923;SERIE_A;2122
18/05/2019;win;PAL;2143;4;0;SAN;1856;SERIE_A;2143
25/05/2019;win;PAL;2165;1;0;BOT;1808;SERIE_A;2176
02/06/2019;win;PAL;2198;2;1;CHA;1762;SERIE_A;2206
08/06/2019;win;PAL;2229;1;0;ATH;1899;SERIE_A;2237
13/06/2019;win;PAL;2260;2;0;AVA;1508;SERIE_A;2261
13/07/2019;draw;PAL;2285;1;1;SAO;1839;SERIE_A;2242
20/07/2019;loss;PAL;2266;0;2;CEA;1768;SERIE_A;2171
27/07/2019;draw;PAL;2196;1;1;VAS;1869;SERIE_A;2154
04/08/2019;draw;PAL;2179;1;1;COR;2025;SERIE_A;2158
11/08/2019;draw;PAL;2184;2;2;BAH;1996;SERIE_A;2150
17/08/2019;draw;PAL;2176;1;1;GRE;1920;SERIE_A;2145
10/09/2019;win;PAL;2172;3;0;FLU;1777;SERIE_A;2182
01/09/2019;loss;PAL;2209;0;3;FLA;2255;SERIE_A;2166
07/09/2019;win;PAL;2194;2;1;GOI;1785;SERIE_A;2203
14/09/2019;win;PAL;2231;1;0;CRU;1972;SERIE_A;2242
22/09/2019;win;PAL;2271;1;0;FOR;1838;SERIE_A;2279
26/09/2019;win;PAL;2308;6;2;CSA;1912;SERIE_A;2308
29/09/2019;draw;PAL;2338;1;1;INT;2223;SERIE_A;2322
06/10/2019;draw;PAL;2352;1;1;ATL;1960;SERIE_A;2308
09/10/2019;loss;PAL;2339;0;2;SAN;2246;SERIE_A;2276
12/10/2019;win;PAL;2307;1;0;BOT;2061;SERIE_A;2319
16/10/2019;win;PAL;2351;1;0;CHA;1949;SERIE_A;2356
20/10/2019;draw;PAL;2388;1;1;ATH;2341;SERIE_A;2381
27/10/2019;win;PAL;2414;2;1;AVA;1830;SERIE_A;2417
30/10/2019;win;PAL;2450;3;0;SAO;2385;SERIE_A;2499
02/11/2019;win;PAL;2533;1;0;CEA;2291;SERIE_A;2545
06/11/2019;win;PAL;2579;2;1;VAS;2313;SERIE_A;2597
09/11/2019;draw;PAL;2632;1;1;COR;2316;SERIE_A;2590
17/11/2019;draw;PAL;2625;1;1;BAH;2320;SERIE_A;2590
24/11/2019;loss;PAL;2626;1;2;GRE;2614;SERIE_A;2560
28/11/2019;loss;PAL;2596;0;1;FLU;2442;SERIE_A;2525
01/12/2019;loss;PAL;2562;1;3;FLA;2911;SERIE_A;2543
05/12/2019;win;PAL;2580;5;1;GOI;2329;SERIE_A;2580
08/12/2019;win;PAL;2618;2;0;CRU;2392;SERIE_A;2650
26/01/2021;draw;PAL;2688;1;1;VAS;2557;SERIE_A;2659
12/08/2020;draw;PAL;2698;1;1;FLU;2631;SERIE_A;2688
15/08/2020;draw;PAL;2727;1;1;GOI;2437;SERIE_A;2687
19/08/2020;win;PAL;2727;1;0;ATH;2876;SERIE_A;2797
23/08/2020;win;PAL;2837;2;1;SAN;2843;SERIE_A;2874
29/08/2020;draw;PAL;2915;1;1;BAH;2653;SERIE_A;2883
02/09/2020;draw;PAL;2924;1;1;INT;2902;SERIE_A;2907
06/09/2020;win;PAL;2949;2;1;RED;1681;SERIE_A;2949
10/09/2020;win;PAL;2991;2;0;COR;2737;SERIE_A;3019
13/09/2020;draw;PAL;3062;2;2;SPO;2073;SERIE_A;3012
20/09/2020;draw;PAL;3055;1;1;GRE;2974;SERIE_A;3044
27/09/2020;draw;PAL;3088;1;1;FLA;3155;SERIE_A;3083
03/10/2020;win;PAL;3127;2;1;CEA;2882;SERIE_A;3139
07/10/2020;loss;PAL;3184;1;2;BOT;2871;SERIE_A;3098
10/10/2020;loss;PAL;3143;0;2;SAO;3130;SERIE_A;3077
14/10/2020;loss;PAL;3123;1;3;CTB;2013;SERIE_A;3023
18/10/2020;loss;PAL;3069;0;2;FOR;2962;SERIE_A;3004
25/10/2020;win;PAL;3051;3;0;ATG;2364;SERIE_A;3054
02/11/2020;win;PAL;3101;3;0;ATL;3156;SERIE_A;3177
08/11/2020;win;PAL;3225;1;0;VAS;2988;SERIE_A;3245
14/11/2020;win;PAL;3293;2;0;FLU;3329;SERIE_A;3354
21/11/2020;loss;PAL;3403;0;1;GOI;2763;SERIE_A;3305
28/11/2020;win;PAL;3354;3;0;ATH;3246;SERIE_A;3395
05/12/2020;draw;PAL;3445;2;2;SAN;3399;SERIE_A;3438
12/12/2020;win;PAL;3488;3;0;BAH;3267;SERIE_A;3512
19/12/2020;loss;PAL;3563;0;2;INT;3406;SERIE_A;3492
27/12/2020;win;PAL;3543;1;0;RED;2697;SERIE_A;3543
18/01/2021;win;PAL;3595;4;0;COR;3611;SERIE_A;3595
09/01/2021;win;PAL;3647;1;0;SPO;3000;SERIE_A;3649
15/01/2021;draw;PAL;3702;1;1;GRE;3681;SERIE_A;3685
21/01/2021;loss;PAL;3738;0;2;FLA;3758;SERIE_A;3691
24/01/2021;loss;PAL;3745;1;2;CEA;3727;SERIE_A;3692
02/02/2021;draw;PAL;3746;1;1;BOT;3331;SERIE_A;3701
19/02/2021;draw;PAL;3756;1;1;SAO;3735;SERIE_A;3753
17/02/2021;loss;PAL;3808;0;1;CTB;2816;SERIE_A;3708
14/02/2021;win;PAL;3764;3;0;FOR;3575;SERIE_A;3792
22/02/2021;draw;PAL;3848;1;1;ATG;3385;SERIE_A;3802
25/02/2021;loss;PAL;3859;0;2;ATL;3941;SERIE_A;3821
30/05/2021;loss;PAL;3878;0;1;FLA;4126;SERIE_A;3859
06/06/2021;win;PAL;3917;3;1;CHA;2527;SERIE_A;3917
12/06/2021;draw;PAL;3975;1;1;COR;3983;SERIE_A;3962
16/06/2021;win;PAL;4021;3;0;JUV;1555;SERIE_A;4021
20/06/2021;win;PAL;4080;2;1;AME;1634;SERIE_A;4080
23/06/2021;loss;PAL;4140;1;3;RED;4015;SERIE_A;4073
27/06/2021;win;PAL;4133;3;2;BAH;4325;SERIE_A;4196
30/06/2021;win;PAL;4257;2;1;INT;4293;SERIE_A;4312
04/07/2021;win;PAL;4373;1;0;SPO;3869;SERIE_A;4378
07/07/2021;win;PAL;4440;2;0;GRE;4069;SERIE_A;4449
10/07/2021;win;PAL;4511;3;2;SAN;4474;SERIE_A;4542
18/07/2021;win;PAL;4605;3;0;ATG;3930;SERIE_A;4609
24/07/2021;win;PAL;4672;1;0;FLU;4521;SERIE_A;4691
31/07/2021;draw;PAL;4755;0;0;SAO;4485;SERIE_A;4722
07/08/2021;loss;PAL;4786;2;3;FOR;4478;SERIE_A;4695
14/08/2021;loss;PAL;4760;0;2;ATL;4903;SERIE_A;4729
22/08/2021;loss;PAL;4794;0;2;CUI;2165;SERIE_A;4694
