date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
16/04/2018;loss;PAR;1501;0;1;SAO;1501;SERIE_A;1451
22/04/2018;loss;PAR;1452;0;4;COR;1538;SERIE_A;1400
29/04/2018;loss;PAR;1401;1;2;SPO;1444;SERIE_A;1343
07/05/2018;draw;PAR;1345;1;1;CHA;1466;SERIE_A;1362
13/05/2018;loss;PAR;1364;1;3;SAN;1436;SERIE_A;1324
20/05/2018;draw;PAR;1327;0;0;GRE;1465;SERIE_A;1332
27/05/2018;draw;PAR;1335;0;0;ATH;1364;SERIE_A;1325
30/05/2018;loss;PAR;1329;0;1;VAS;1459;SERIE_A;1297
04/06/2018;win;PAR;1301;2;1;FLU;1553;SERIE_A;1372
07/06/2018;win;PAR;1377;1;0;BAH;1418;SERIE_A;1419
10/06/2018;loss;PAR;1424;0;2;FLA;1726;SERIE_A;1409
13/06/2018;draw;PAR;1415;1;1;CRU;1504;SERIE_A;1413
18/07/2018;loss;PAR;1419;0;1;VIT;1412;SERIE_A;1368
22/07/2018;win;PAR;1375;1;0;AME;1369;SERIE_A;1410
25/07/2018;loss;PAR;1417;0;2;ATL;1535;SERIE_A;1383
29/07/2018;loss;PAR;1391;0;3;PAL;1579;SERIE_A;1366
05/08/2018;loss;PAR;1374;0;1;CEA;1418;SERIE_A;1316
12/08/2018;draw;PAR;1325;1;1;BOT;1439;SERIE_A;1327
19/08/2018;loss;PAR;1336;0;1;INT;1731;SERIE_A;1327
22/08/2018;draw;PAR;1337;1;1;SAO;1788;SERIE_A;1375
25/08/2018;loss;PAR;1385;0;1;COR;1456;SERIE_A;1345
02/09/2018;loss;PAR;1356;0;1;SPO;1265;SERIE_A;1293
05/09/2018;draw;PAR;1304;1;1;CHA;1480;SERIE_A;1315
09/09/2018;loss;PAR;1327;0;2;SAN;1654;SERIE_A;1306
15/09/2018;loss;PAR;1318;0;2;GRE;1647;SERIE_A;1305
23/09/2018;loss;PAR;1318;0;3;ATH;1649;SERIE_A;1305
01/10/2018;draw;PAR;1318;1;1;VAS;1504;SERIE_A;1330
08/10/2018;loss;PAR;1344;0;4;FLU;1555;SERIE_A;1321
13/10/2018;loss;PAR;1335;0;2;BAH;1561;SERIE_A;1314
21/10/2018;loss;PAR;1329;0;4;FLA;1767;SERIE_A;1316
27/10/2018;loss;PAR;1331;1;3;CRU;1604;SERIE_A;1314
04/11/2018;draw;PAR;1330;1;1;VIT;1491;SERIE_A;1339
10/11/2018;win;PAR;1355;1;0;AME;1481;SERIE_A;1422
14/11/2018;loss;PAR;1439;0;1;ATL;1563;SERIE_A;1392
18/11/2018;draw;PAR;1409;1;1;PAL;2006;SERIE_A;1454
22/11/2018;loss;PAR;1472;0;1;CEA;1674;SERIE_A;1448
26/11/2018;loss;PAR;1466;1;2;BOT;1795;SERIE_A;1453
02/12/2018;draw;PAR;1472;1;1;INT;1762;SERIE_A;1497
