date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
09/08/2020;draw;RED;1500;1;1;SAN;1361;SERIE_A;1481
12/08/2020;draw;RED;1481;1;1;BOT;1053;SERIE_A;1436
16/08/2020;loss;RED;1436;1;2;BAH;1275;SERIE_A;1364
19/08/2020;win;RED;1364;2;1;FLU;1323;SERIE_A;1395
23/08/2020;loss;RED;1395;1;2;CTB;1223;SERIE_A;1312
29/08/2020;loss;RED;1312;0;3;FOR;1319;SERIE_A;1263
02/09/2020;draw;RED;1263;1;1;ATH;1364;SERIE_A;1277
06/09/2020;loss;RED;1277;1;2;PAL;1382;SERIE_A;1228
09/09/2020;draw;RED;1228;1;1;SAO;1387;SERIE_A;1249
13/09/2020;loss;RED;1249;1;2;ATL;1309;SERIE_A;1208
19/09/2020;win;RED;1208;4;2;CEA;1358;SERIE_A;1294
27/09/2020;draw;RED;1294;1;1;VAS;1261;SERIE_A;1289
03/10/2020;draw;RED;1289;0;0;COR;1167;SERIE_A;1261
08/10/2020;loss;RED;1261;0;2;INT;1311;SERIE_A;1204
11/10/2020;loss;RED;1204;1;2;ATG;1243;SERIE_A;1160
15/10/2020;draw;RED;1160;1;1;FLA;1524;SERIE_A;1199
18/10/2020;win;RED;1199;2;0;SPO;1197;SERIE_A;1253
24/10/2020;win;RED;1253;2;0;GOI;1104;SERIE_A;1282
02/11/2020;loss;RED;1282;1;2;GRE;1375;SERIE_A;1245
08/11/2020;draw;RED;1245;1;1;SAN;1350;SERIE_A;1246
16/11/2020;win;RED;1246;2;1;BOT;1158;SERIE_A;1284
20/11/2020;win;RED;1284;4;0;BAH;1313;SERIE_A;1284
30/11/2020;draw;RED;1284;0;0;FLU;1348;SERIE_A;1293
05/12/2020;draw;RED;1293;0;0;CTB;1094;SERIE_A;1267
12/12/2020;win;RED;1267;2;1;FOR;1170;SERIE_A;1291
20/12/2020;loss;RED;1291;0;1;ATH;1121;SERIE_A;1208
27/12/2020;loss;RED;1208;0;1;PAL;1324;SERIE_A;1174
06/01/2021;win;RED;1174;4;2;SAO;1500;SERIE_A;1292
11/01/2021;draw;RED;1292;2;2;ATL;1330;SERIE_A;1283
17/01/2021;win;RED;1283;2;1;CEA;1352;SERIE_A;1343
20/01/2021;win;RED;1343;4;1;VAS;1101;SERIE_A;1364
25/01/2021;win;RED;1364;2;0;COR;1267;SERIE_A;1419
31/01/2021;loss;RED;1419;1;2;INT;1469;SERIE_A;1376
03/02/2021;win;RED;1376;2;0;ATG;1270;SERIE_A;1411
07/02/2021;draw;RED;1411;1;1;FLA;1384;SERIE_A;1393
15/02/2021;draw;RED;1393;0;0;SPO;1204;SERIE_A;1368
21/02/2021;draw;RED;1368;0;0;GOI;1182;SERIE_A;1344
25/02/2021;win;RED;1344;1;0;GRE;1239;SERIE_A;1368
30/05/2021;win;RED;1368;3;0;CHA;1186;SERIE_A;1413
05/06/2021;draw;RED;1413;3;3;BAH;1249;SERIE_A;1381
13/06/2021;draw;RED;1381;2;2;FLU;1390;SERIE_A;1368
16/06/2021;win;RED;1368;2;1;COR;1177;SERIE_A;1393
19/06/2021;win;RED;1393;3;2;FLA;1386;SERIE_A;1442
23/06/2021;win;RED;1442;3;1;PAL;1322;SERIE_A;1475
28/06/2021;win;RED;1475;1;0;ATG;1279;SERIE_A;1499
01/07/2021;draw;RED;1499;0;0;CEA;1155;SERIE_A;1456
04/07/2021;win;RED;1456;2;1;SAO;1117;SERIE_A;1468
07/07/2021;draw;RED;1468;1;1;CUI;1133;SERIE_A;1426
10/07/2021;draw;RED;1426;2;2;ATH;1361;SERIE_A;1417
18/07/2021;draw;RED;1417;2;2;SAN;1218;SERIE_A;1382
25/07/2021;loss;RED;1382;0;1;FOR;1264;SERIE_A;1316
31/07/2021;win;RED;1316;1;0;GRE;1098;SERIE_A;1330
06/08/2021;draw;RED;1330;0;0;SPO;1169;SERIE_A;1308
14/08/2021;loss;RED;1308;1;2;JUV;1126;SERIE_A;1224
23/08/2021;win;RED;1224;2;0;AME;1106;SERIE_A;1274
