date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
14/04/2018;win;SAN;1501;2;0;CEA;1501;SERIE_A;1555
21/04/2018;loss;SAN;1556;0;1;BAH;1452;SERIE_A;1491
27/09/2018;draw;SAN;1492;1;1;VAS;1527;SERIE_A;1483
06/05/2018;loss;SAN;1485;1;5;GRE;1478;SERIE_A;1434
13/05/2018;win;SAN;1436;3;1;PAR;1364;SERIE_A;1477
20/05/2018;loss;SAN;1480;0;1;SAO;1506;SERIE_A;1434
27/05/2018;loss;SAN;1437;0;1;CRU;1497;SERIE_A;1381
31/05/2018;loss;SAN;1385;0;2;ATH;1364;SERIE_A;1332
03/06/2018;win;SAN;1336;5;2;VIT;1423;SERIE_A;1420
06/06/2018;draw;SAN;1425;1;1;COR;1489;SERIE_A;1434
10/06/2018;loss;SAN;1439;1;2;INT;1601;SERIE_A;1398
13/06/2018;win;SAN;1404;1;0;FLU;1419;SERIE_A;1456
19/07/2018;draw;SAN;1462;1;1;PAL;1622;SERIE_A;1471
22/07/2018;draw;SAN;1478;0;0;CHA;1479;SERIE_A;1478
25/07/2018;draw;SAN;1485;1;1;FLA;1691;SERIE_A;1500
29/07/2018;loss;SAN;1508;0;1;AME;1414;SERIE_A;1433
04/08/2018;draw;SAN;1441;0;0;BOT;1445;SERIE_A;1442
12/08/2018;loss;SAN;1451;1;3;ATL;1535;SERIE_A;1413
18/08/2018;win;SAN;1422;3;0;SPO;1356;SERIE_A;1471
08/08/2018;draw;SAN;1481;1;1;CEA;1463;SERIE_A;1478
25/08/2018;win;SAN;1488;2;0;BAH;1557;SERIE_A;1556
01/09/2018;win;SAN;1567;3;0;VAS;1530;SERIE_A;1645
06/09/2018;draw;SAN;1656;0;0;GRE;1657;SERIE_A;1642
09/09/2018;win;SAN;1654;2;0;PAR;1327;SERIE_A;1674
16/09/2018;draw;SAN;1686;0;0;SAO;1712;SERIE_A;1676
23/09/2018;loss;SAN;1689;1;2;CRU;1575;SERIE_A;1623
30/09/2018;win;SAN;1636;1;0;ATH;1676;SERIE_A;1677
05/10/2018;win;SAN;1691;1;0;VIT;1465;SERIE_A;1712
13/10/2018;win;SAN;1726;1;0;COR;1509;SERIE_A;1740
22/10/2018;draw;SAN;1755;2;2;INT;1740;SERIE_A;1753
27/10/2018;win;SAN;1768;3;0;FLU;1610;SERIE_A;1800
03/11/2018;loss;SAN;1816;2;3;PAL;1974;SERIE_A;1787
12/11/2018;loss;SAN;1803;0;1;CHA;1501;SERIE_A;1712
15/11/2018;loss;SAN;1729;0;1;FLA;1750;SERIE_A;1682
18/11/2018;loss;SAN;1699;1;2;AME;1425;SERIE_A;1616
21/11/2018;draw;SAN;1634;1;1;BOT;1799;SERIE_A;1643
24/11/2018;win;SAN;1661;3;2;ATL;1761;SERIE_A;1711
02/12/2018;loss;SAN;1730;1;2;SPO;1621;SERIE_A;1665
28/04/2019;win;SAN;1684;2;1;GRE;1799;SERIE_A;1750
02/05/2019;win;SAN;1770;2;1;FLU;1562;SERIE_A;1785
05/05/2019;draw;SAN;1805;0;0;CSA;1527;SERIE_A;1772
12/05/2019;win;SAN;1793;3;0;VAS;1691;SERIE_A;1835
18/05/2019;loss;SAN;1856;0;4;PAL;2143;SERIE_A;1840
26/05/2019;draw;SAN;1862;0;0;INT;1911;SERIE_A;1855
02/06/2019;win;SAN;1877;1;0;CEA;1759;SERIE_A;1911
09/06/2019;win;SAN;1934;3;1;ATL;1925;SERIE_A;1986
12/06/2019;win;SAN;2009;1;0;COR;1928;SERIE_A;2035
13/07/2019;win;SAN;2059;1;0;BAH;1852;SERIE_A;2082
21/07/2019;win;SAN;2106;1;0;BOT;1848;SERIE_A;2124
28/07/2019;win;SAN;2149;3;1;AVA;1515;SERIE_A;2151
04/08/2019;win;SAN;2176;6;1;GOI;1738;SERIE_A;2176
10/08/2019;loss;SAN;2202;2;3;SAO;2061;SERIE_A;2133
18/08/2019;loss;SAN;2159;0;2;CRU;1758;SERIE_A;2068
25/08/2019;draw;SAN;2095;3;3;FOR;1734;SERIE_A;2052
31/08/2019;win;SAN;2079;1;0;CHA;1875;SERIE_A;2103
08/09/2019;draw;SAN;2131;1;1;ATH;2052;SERIE_A;2107
14/09/2019;loss;SAN;2135;0;1;FLA;2368;SERIE_A;2114
21/09/2019;loss;SAN;2143;0;3;GRE;2214;SERIE_A;2089
26/09/2019;draw;SAN;2118;1;1;FLU;1896;SERIE_A;2090
29/09/2019;win;SAN;2120;2;0;CSA;1914;SERIE_A;2142
05/10/2019;win;SAN;2172;1;0;VAS;2124;SERIE_A;2215
09/10/2019;win;SAN;2246;2;0;PAL;2339;SERIE_A;2319
13/10/2019;draw;SAN;2350;0;0;INT;2201;SERIE_A;2330
17/10/2019;win;SAN;2362;2;1;CEA;2017;SERIE_A;2369
20/10/2019;loss;SAN;2401;0;2;ATL;2087;SERIE_A;2315
26/10/2019;draw;SAN;2348;0;0;COR;2247;SERIE_A;2334
