date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
16/04/2018;win;SAO;1500;1;0;PAR;1500;SERIE_A;1536
22/04/2018;draw;SAO;1536;0;0;CEA;1450;SERIE_A;1524
29/04/2018;draw;SAO;1524;1;1;FLU;1484;SERIE_A;1518
05/05/2018;draw;SAO;1518;2;2;ATL;1533;SERIE_A;1506
13/05/2018;draw;SAO;1506;2;2;BAH;1438;SERIE_A;1496
20/05/2018;win;SAO;1496;1;0;SAN;1470;SERIE_A;1529
27/05/2018;win;SAO;1529;3;1;AME;1509;SERIE_A;1600
30/05/2018;win;SAO;1600;3;2;BOT;1433;SERIE_A;1618
02/06/2018;loss;SAO;1618;1;3;PAL;1445;SERIE_A;1545
05/06/2018;draw;SAO;1545;0;0;INT;1574;SERIE_A;1535
09/06/2018;win;SAO;1535;1;0;ATH;1332;SERIE_A;1559
12/06/2018;win;SAO;1559;3;0;VIT;1397;SERIE_A;1591
18/07/2018;win;SAO;1591;1;0;FLA;1690;SERIE_A;1655
21/07/2018;win;SAO;1655;3;1;COR;1431;SERIE_A;1675
26/07/2018;loss;SAO;1675;1;2;GRE;1503;SERIE_A;1602
29/07/2018;win;SAO;1602;2;0;CRU;1442;SERIE_A;1645
05/08/2018;win;SAO;1645;2;1;VAS;1345;SERIE_A;1654
12/08/2018;win;SAO;1654;3;1;SPO;1282;SERIE_A;1670
19/08/2018;win;SAO;1670;2;0;CHA;1418;SERIE_A;1687
22/08/2018;draw;SAO;1687;1;1;PAR;1236;SERIE_A;1644
26/08/2018;win;SAO;1644;1;0;CEA;1350;SERIE_A;1653
02/09/2018;draw;SAO;1653;1;1;FLU;1349;SERIE_A;1612
05/09/2018;loss;SAO;1612;0;1;ATL;1417;SERIE_A;1537
08/09/2018;win;SAO;1537;1;0;BAH;1377;SERIE_A;1555
16/09/2018;draw;SAO;1555;0;0;SAN;1529;SERIE_A;1551
22/09/2018;draw;SAO;1551;1;1;AME;1310;SERIE_A;1513
30/09/2018;draw;SAO;1513;2;2;BOT;1370;SERIE_A;1494
06/10/2018;loss;SAO;1494;0;2;PAL;1663;SERIE_A;1454
14/10/2018;loss;SAO;1454;1;3;INT;1461;SERIE_A;1405
20/10/2018;draw;SAO;1405;0;0;ATH;1437;SERIE_A;1395
26/10/2018;win;SAO;1395;1;0;VIT;1282;SERIE_A;1429
04/11/2018;draw;SAO;1429;2;2;FLA;1555;SERIE_A;1433
10/11/2018;draw;SAO;1433;1;1;COR;1277;SERIE_A;1412
15/11/2018;draw;SAO;1412;1;1;GRE;1454;SERIE_A;1404
18/11/2018;win;SAO;1404;1;0;CRU;1388;SERIE_A;1438
22/11/2018;loss;SAO;1438;0;2;VAS;1270;SERIE_A;1366
26/11/2018;draw;SAO;1366;0;0;SPO;1242;SERIE_A;1338
02/12/2018;loss;SAO;1338;0;1;CHA;1277;SERIE_A;1279
27/04/2019;win;SAO;1279;2;0;BOT;1395;SERIE_A;1357
01/05/2019;win;SAO;1357;2;1;GOI;1518;SERIE_A;1429
05/05/2019;draw;SAO;1429;1;1;FLA;1467;SERIE_A;1420
12/05/2019;win;SAO;1420;1;0;FOR;1449;SERIE_A;1474
19/05/2019;draw;SAO;1474;0;0;BAH;1297;SERIE_A;1441
26/05/2019;loss;SAO;1441;0;1;COR;1361;SERIE_A;1380
02/06/2019;draw;SAO;1380;1;1;CRU;1207;SERIE_A;1347
08/06/2019;draw;SAO;1347;0;0;AVA;1230;SERIE_A;1331
13/06/2019;draw;SAO;1331;1;1;ATL;1375;SERIE_A;1337
13/07/2019;draw;SAO;1337;1;1;PAL;1735;SERIE_A;1372
22/07/2019;win;SAO;1372;4;0;CHA;1178;SERIE_A;1372
27/07/2019;win;SAO;1372;2;1;FLU;1187;SERIE_A;1398
