date;result;team_id;team_Ro;team_goals;opp_team_goals;opp_team_id;opp_team_Ro;tournament_id;team_Rn
14/04/2018;draw;VIT;1501;2;2;FLA;1501;SERIE_A;1487
22/04/2018;loss;VIT;1488;1;2;ATL;1452;SERIE_A;1433
30/04/2018;loss;VIT;1434;1;2;AME;1507;SERIE_A;1394
06/05/2018;loss;VIT;1396;1;2;FLU;1480;SERIE_A;1344
13/05/2018;win;VIT;1346;3;2;VAS;1592;SERIE_A;1426
20/05/2018;win;VIT;1429;2;1;CEA;1417;SERIE_A;1463
27/05/2018;draw;VIT;1466;1;1;BOT;1459;SERIE_A;1465
30/05/2018;loss;VIT;1469;2;3;INT;1572;SERIE_A;1419
03/06/2018;loss;VIT;1423;2;5;SAN;1336;SERIE_A;1361
06/06/2018;win;VIT;1366;1;0;CHA;1469;SERIE_A;1416
09/06/2018;draw;VIT;1421;0;0;COR;1472;SERIE_A;1428
12/06/2018;loss;VIT;1434;0;3;SAO;1596;SERIE_A;1406
18/07/2018;win;VIT;1412;1;0;PAR;1419;SERIE_A;1449
22/07/2018;loss;VIT;1456;1;4;BAH;1443;SERIE_A;1404
26/07/2018;win;VIT;1411;1;0;SPO;1403;SERIE_A;1446
29/07/2018;loss;VIT;1454;0;4;ATH;1399;SERIE_A;1396
05/08/2018;draw;VIT;1404;1;1;CRU;1474;SERIE_A;1400
12/08/2018;loss;VIT;1409;0;4;GRE;1691;SERIE_A;1393
19/08/2018;loss;VIT;1402;0;3;PAL;1631;SERIE_A;1370
23/08/2018;loss;VIT;1380;0;1;FLA;1602;SERIE_A;1358
26/08/2018;win;VIT;1368;1;0;ATL;1617;SERIE_A;1438
01/09/2018;win;VIT;1449;1;0;AME;1528;SERIE_A;1496
06/09/2018;draw;VIT;1507;0;0;FLU;1517;SERIE_A;1508
09/09/2018;win;VIT;1520;1;0;VAS;1443;SERIE_A;1547
15/09/2018;loss;VIT;1559;0;2;CEA;1586;SERIE_A;1513
23/09/2018;loss;VIT;1526;3;4;BOT;1484;SERIE_A;1457
30/09/2018;loss;VIT;1470;1;2;INT;1724;SERIE_A;1451
05/10/2018;loss;VIT;1465;0;1;SAN;1691;SERIE_A;1432
14/10/2018;win;VIT;1446;1;0;CHA;1544;SERIE_A;1510
21/10/2018;draw;VIT;1525;2;2;COR;1502;SERIE_A;1508
26/10/2018;loss;VIT;1523;0;1;SAO;1636;SERIE_A;1475
04/11/2018;draw;VIT;1491;1;1;PAR;1330;SERIE_A;1469
11/11/2018;draw;VIT;1485;2;2;BAH;1651;SERIE_A;1494
14/11/2018;draw;VIT;1511;0;0;SPO;1666;SERIE_A;1532
17/11/2018;loss;VIT;1549;1;2;ATH;1750;SERIE_A;1513
21/11/2018;loss;VIT;1531;0;3;CRU;1665;SERIE_A;1499
25/11/2018;draw;VIT;1517;0;0;GRE;1772;SERIE_A;1538
02/12/2018;loss;VIT;1557;2;3;PAL;2030;SERIE_A;1551
